source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,delta_log10_t_set,E50,wE,fit_ok,E_norm,E_hat
mE,0.0,-0.0152348498255057,0.055,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.71875,-3.5137974274512627,0.5128593532789458,0.04617365790798732,0.011911280671811431,True,1.1911553576630511,0.7410069777719712
mE,0.0,-0.0152348498255057,0.06,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.6875,-3.566677254169416,0.45997952656079244,0.04617365790798732,0.011911280671811431,True,1.2994422083596922,1.1607771215343223
mE,0.0,-0.0127184055612511,0.065,700.0,0.1777106869989748,0.0763104333675069,2.946180921417377,0.78125,-3.642350570246159,0.38430621048404934,0.04617365790798732,0.011911280671811431,True,1.4077290590563332,1.5805472652966739
mE,0.0,-0.0160847894443786,0.07,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,1.0,-3.6266452450849367,0.4000115356452718,0.04617365790798732,0.011911280671811431,True,1.5160159097529742,2.0003174090590257
mE,0.0,-0.0135461687382062,0.075,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,0.96875,-3.6906477040393377,0.33600907669087077,0.04617365790798732,0.011911280671811431,True,1.624302760449615,2.420087552821376
mE,0.0,-0.0127296037116974,0.08,700.0,0.1777086713318944,0.0763776222701845,2.946147504631948,0.84375,-3.7874836271666568,0.23917315356355173,0.04617365790798732,0.011911280671811431,True,1.7325896111462562,2.8398576965837274
mE,0.0,-0.0143849102066328,0.085,700.0,0.1774107161628061,0.0863094612397971,2.9412078476567265,0.96875,-3.7868552311764394,0.2398015495537691,0.04617365790798732,0.011911280671811431,True,1.8408764618428972,3.259627840346079
mE,0.0,-0.0160847894443786,0.09,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,0.96875,-3.845024098718823,0.1816326820113856,0.04617365790798732,0.011911280671811431,True,1.949163312539538,3.6793979841084297
mE,0.0,-0.0177512940897603,0.095,700.0,0.1768047670638431,0.1065077645385622,2.931162105867855,1.0,-3.82871544342091,0.19794133730929842,0.04617365790798732,0.011911280671811431,True,2.057450163236179,4.099168127870781
mE,0.0,-0.0093853962704877,0.1,700.0,0.1783106286713122,0.0563123776229264,2.95612706893868,0.96875,-3.9076373365022254,0.11901944422798305,0.04617365790798732,0.011911280671811431,True,2.1657370139328203,4.518938271633133
mE,0.0,-0.0135461687382062,0.105,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,1.0,-4.0266567807302085,0.0,0.04617365790798732,0.011911280671811431,True,2.274023864629461,4.938708415395483
mE,0.25,0.2340469646915191,0.055,700.0,0.1378715463555265,1.404281788149115,2.2857067649584137,0.375,-3.390502485094855,0.5474004387249001,0.06095598208204097,0.01902481956334012,True,0.9022904417481982,-0.3130637881852951
mE,0.25,0.2327489663706319,0.06,700.0,0.1381051860532862,1.3964937982237913,2.289580166337079,0.625,-3.5212704609594816,0.41663246286027356,0.06095598208204097,0.01902481956334012,True,0.9843168455434889,-0.05024920624651296
mE,0.25,0.2340820117000689,0.065,700.0,0.1378652378939876,1.4044920702004138,2.2856021799762534,0.6875,-3.567309592081166,0.370593331738589,0.06095598208204097,0.01902481956334012,True,1.0663432493387797,0.21256537569226955
mE,0.25,0.2347266078811337,0.07,700.0,0.1377492105813959,1.4083596472868023,2.283678618368937,0.25,-3.4481776424903035,0.4897252813294517,0.06095598208204097,0.01902481956334012,True,1.1483696531340706,0.47537995763105206
mE,0.25,0.2366517672920514,0.075,700.0,0.1374026818874307,1.4199106037523086,2.2779336840370488,0.78125,-3.604056398070722,0.33384652574903306,0.06095598208204097,0.01902481956334012,True,1.230396056929361,0.7381945395698338
mE,0.25,0.2340557706502768,0.08,700.0,0.1378699612829501,1.4043346239016614,2.28568048679438,0.75,-3.703304675444883,0.2345982483748723,0.06095598208204097,0.01902481956334012,True,1.312422460724652,1.0010091215086163
mE,0.25,0.2385943617940035,0.085,700.0,0.1370530148770793,1.431566170764021,2.2721367210510683,0.71875,-3.692098006002954,0.24580491781680136,0.06095598208204097,0.01902481956334012,True,1.3944488645199427,1.263823703447399
mE,0.25,0.2373051694318739,0.09,700.0,0.1372850695022627,1.4238310165912438,2.275983844265699,0.90625,-3.816369041204257,0.12153388261549836,0.06095598208204097,0.01902481956334012,True,1.4764752683152333,1.5266382853861806
mE,0.25,0.2346829317403073,0.095,700.0,0.1377570722867446,1.408097590441844,2.283808953841156,0.84375,-3.715676083131256,0.2222268406884993,0.06095598208204097,0.01902481956334012,True,1.558501672110524,1.7894528673249632
mE,0.25,0.2321218052806014,0.1,700.0,0.1382180750494917,1.392730831683609,2.2914516992903025,0.875,-3.762142576253975,0.17576034756578007,0.06095598208204097,0.01902481956334012,True,1.640528075905815,2.052267449263746
mE,0.25,0.2334198036014887,0.105,700.0,0.137984435351732,1.4005188216089324,2.287578297911637,0.96875,-3.937902923819755,0.0,0.06095598208204097,0.01902481956334012,True,1.7225544797011056,2.3150820312025275
mE,0.5,0.4991198456715698,0.055,700.0,0.0901584277791174,2.994719074029419,1.4946936749468234,0.40625,-3.421422397501293,0.41777089386024624,0.058989466668357866,0.026648951963316205,True,0.9323698467933796,-0.14970444893478713
mE,0.5,0.4978146853146853,0.06,700.0,0.0903933566433566,2.986888111888112,1.498588448803141,0.625,-3.426606525870966,0.41258676549057327,0.058989466668357866,0.026648951963316205,True,1.0171307419564142,0.03792019037120814
mE,0.5,0.4995569086086328,0.065,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.53125,-3.458244810075128,0.38094848128641123,0.058989466668357866,0.026648951963316205,True,1.1018916371194487,0.22554482967720366
mE,0.5,0.4999820385094358,0.07,700.0,0.0900032330683015,2.9998922310566147,1.4921207756809889,0.5,-3.4960312312781743,0.3431620600833649,0.058989466668357866,0.026648951963316205,True,1.1866525322824832,0.4131694689831992
mE,0.5,0.4969405594405594,0.075,700.0,0.0905506993006993,2.9816433566433567,1.5011969578524065,0.6875,-3.5663042017313886,0.27288908963015057,0.058989466668357866,0.026648951963316205,True,1.2714134274455178,0.6007941082891942
mE,0.5,0.5012811704120159,0.08,700.0,0.0897693893258371,3.007687022472096,1.4882439915422525,0.65625,-3.5703171617514364,0.26887612961010277,0.058989466668357866,0.026648951963316205,True,1.3561743226085523,0.7884187475951897
mE,0.5,0.4986827827345069,0.085,700.0,0.0902370991077887,2.992096696407041,1.4959979294714565,0.71875,-3.700030781963026,0.13916250939851338,0.058989466668357866,0.026648951963316205,True,1.4409352177715868,0.9760433869011853
mE,0.5,0.4995569086086328,0.09,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.9375,-3.807266498785595,0.03192679257594433,0.058989466668357866,0.026648951963316205,True,1.5256961129346212,1.1636680262071804
mE,0.5,0.4986767542802026,0.095,700.0,0.0902381842295635,2.9920605256812154,1.4960159191890374,0.84375,-3.8312433046104464,0.007949986751092819,0.058989466668357866,0.026648951963316205,True,1.610457008097656,1.3512926655131758
mE,0.5,0.4991138172172655,0.1,700.0,0.0901595129008922,2.994682903303593,1.4947116646644043,0.625,-3.822693928206452,0.016499363155087376,0.058989466668357866,0.026648951963316205,True,1.6952179032606904,1.5389173048191713
