source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,delta_log10_t_set
mE,0.0,-0.0152348498255057,0.055,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.71875,-3.5137974274512627,0.5128593532789458
mE,0.0,-0.0152348498255057,0.06,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.6875,-3.566677254169416,0.45997952656079244
mE,0.0,-0.0127184055612511,0.065,700.0,0.1777106869989748,0.0763104333675069,2.946180921417377,0.78125,-3.642350570246159,0.38430621048404934
mE,0.0,-0.0160847894443786,0.07,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,1.0,-3.6266452450849367,0.4000115356452718
mE,0.0,-0.0135461687382062,0.075,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,0.96875,-3.6906477040393377,0.33600907669087077
mE,0.0,-0.0127296037116974,0.08,700.0,0.1777086713318944,0.0763776222701845,2.946147504631948,0.84375,-3.7874836271666568,0.23917315356355173
mE,0.0,-0.0143849102066328,0.085,700.0,0.1774107161628061,0.0863094612397971,2.9412078476567265,0.96875,-3.7868552311764394,0.2398015495537691
mE,0.0,-0.0160847894443786,0.09,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,0.96875,-3.845024098718823,0.1816326820113856
mE,0.0,-0.0177512940897603,0.095,700.0,0.1768047670638431,0.1065077645385622,2.931162105867855,1.0,-3.82871544342091,0.19794133730929842
mE,0.0,-0.0093853962704877,0.1,700.0,0.1783106286713122,0.0563123776229264,2.95612706893868,0.96875,-3.9076373365022254,0.11901944422798305
mE,0.0,-0.0135461687382062,0.105,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,1.0,-4.0266567807302085,0.0
mE,0.25,0.2340469646915191,0.055,700.0,0.1378715463555265,1.404281788149115,2.2857067649584137,0.375,-3.390502485094855,0.5474004387249001
mE,0.25,0.2327489663706319,0.06,700.0,0.1381051860532862,1.3964937982237913,2.289580166337079,0.625,-3.5212704609594816,0.41663246286027356
mE,0.25,0.2340820117000689,0.065,700.0,0.1378652378939876,1.4044920702004138,2.2856021799762534,0.6875,-3.567309592081166,0.370593331738589
mE,0.25,0.2347266078811337,0.07,700.0,0.1377492105813959,1.4083596472868023,2.283678618368937,0.25,-3.4481776424903035,0.4897252813294517
mE,0.25,0.2366517672920514,0.075,700.0,0.1374026818874307,1.4199106037523086,2.2779336840370488,0.78125,-3.604056398070722,0.33384652574903306
mE,0.25,0.2340557706502768,0.08,700.0,0.1378699612829501,1.4043346239016614,2.28568048679438,0.75,-3.703304675444883,0.2345982483748723
mE,0.25,0.2385943617940035,0.085,700.0,0.1370530148770793,1.431566170764021,2.2721367210510683,0.71875,-3.692098006002954,0.24580491781680136
mE,0.25,0.2373051694318739,0.09,700.0,0.1372850695022627,1.4238310165912438,2.275983844265699,0.90625,-3.816369041204257,0.12153388261549836
mE,0.25,0.2346829317403073,0.095,700.0,0.1377570722867446,1.408097590441844,2.283808953841156,0.84375,-3.715676083131256,0.2222268406884993
