source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,neck_nm
mE,0.5,0.5012811704120159,0.08,700.0,0.0897693893258371,3.007687022472096,1.4882439915422525,0.65625,68.0,35.02983802216538,3.0434782608695654
mE,0.5,0.4986827827345069,0.085,700.0,0.0902370991077887,2.992096696407041,1.4959979294714565,0.71875,81.0,41.086956521739125,3.0434782608695654
mE,0.5,0.4995569086086328,0.09,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.9375,70.5,35.2536231884058,3.0434782608695654
mE,0.5,0.4986767542802026,0.095,700.0,0.0902381842295635,2.9920605256812154,1.4960159191890374,0.84375,85.0,36.52173913043477,3.0434782608695654
mE,0.5,0.4991138172172655,0.1,700.0,0.0901595129008922,2.994682903303593,1.4947116646644043,0.625,78.5,42.30629877369007,3.0434782608695654
mE,0.5,0.4982517482517482,0.105,700.0,0.0903146853146853,2.9895104895104896,1.497284194278508,0.875,81.0,40.07246376811594,3.0434782608695654
mE,0.75,0.7433130699088146,0.055,700.0,0.0462036474164133,4.459878419452887,0.765988285886924,0.4375,66.5,44.2391304347826,3.0434782608695654
mE,0.75,0.7428571428571429,0.06,700.0,0.0462857142857142,4.457142857142857,0.7673488334639877,0.5625,74.5,48.15856777493606,3.0434782608695654
mE,0.75,0.7435410334346505,0.065,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.5,76.5,43.63043478260869,3.0434782608695654
mE,0.75,0.7437657862066013,0.07,700.0,0.0461221584828117,4.462594717239607,0.7646373196308255,0.40625,76.0,54.34782608695652,3.0434782608695654
mE,0.75,0.7435410334346505,0.075,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.375,74.5,54.02173913043478,3.0434782608695654
mE,0.75,0.7439937497324371,0.08,700.0,0.0460811250481613,4.463962498394623,0.7639570458422936,0.46875,79.0,45.65217391304349,3.0434782608695654
mE,0.75,0.7439969604863221,0.085,700.0,0.046080547112462,4.463981762917933,0.7639474645213284,0.5,86.5,33.858695652173914,3.0434782608695654
mE,0.75,0.7435378226807654,0.09,700.0,0.0461631919174622,4.461226936084593,0.7653175934193573,0.59375,78.0,42.60869565217391,3.0434782608695654
mE,0.75,0.7428571428571429,0.095,700.0,0.0462857142857142,4.457142857142857,0.7673488334639877,0.71875,87.0,47.681159420289845,3.0434782608695654
mE,0.75,0.7435410334346505,0.1,700.0,0.0461626139817629,4.461246200607903,0.7653080120983922,0.59375,81.0,52.97101449275362,3.0434782608695654
mE,0.75,0.7430851063829788,0.105,700.0,0.0462446808510638,4.458510638297873,0.7666685596754559,0.59375,82.0,39.56521739130434,3.0434782608695654
mE,0.9,0.8958031837916063,0.055,700.0,0.0187554269175108,5.374819102749638,0.310937298654004,0.25,58.0,44.05434782608695,3.0434782608695654
mE,0.9,0.8958967513348969,0.06,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.46875,65.0,46.41304347826087,3.0434782608695654
mE,0.9,0.8958967513348969,0.065,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.25,72.5,49.54298418972331,3.0434782608695654
mE,0.9,0.8959903188781875,0.07,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.25,73.0,47.93478260869565,3.0434782608695654
mE,0.9,0.8959903188781875,0.075,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.34375,77.0,50.21739130434782,3.0434782608695654
mE,0.9,0.8959903188781875,0.08,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.21875,66.0,49.54106280193236,3.0434782608695654
mE,0.9,0.8959903188781875,0.085,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.34375,70.0,44.56521739130434,3.0434782608695654
mE,0.9,0.8958967513348969,0.09,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.5,83.5,57.97826086956521,3.0434782608695654
mE,0.9,0.8958031837916063,0.095,700.0,0.0187554269175108,5.374819102749638,0.310937298654004,0.53125,86.0,36.52173913043478,3.0434782608695654
mE,0.9,0.8958967513348969,0.1,700.0,0.0187385847597185,5.375380508009381,0.3106580805338046,0.4375,86.5,60.24703557312253,3.0434782608695654
mE,0.9,0.8959903188781875,0.105,700.0,0.0187217426019262,5.375941913269124,0.3103788624136053,0.75,89.5,38.04347826086956,3.0434782608695654
