alpha,lc_ref,rmse,r2
-1.0,2.994682903303593,6.320037467359298,0.089891412770022
-0.95,2.994682903303593,6.323035396567474,0.08902778237144282
-0.9,2.994682903303593,6.326041890907395,0.08816127324150502
-0.85,2.994682903303593,6.329054661853638,0.08729254191238078
-0.8,2.994682903303593,6.332071595819439,0.08642219568655418
-0.75,2.994682903303593,6.335090865749271,0.08555076030580988
-0.7,2.994682903303593,6.338111071860674,0.08467863910649331
-0.6499999999999999,2.994682903303593,6.341131415756363,0.08380606241382027
-0.6,2.994682903303593,6.344151912323865,0.08293302586681983
-0.55,2.994682903303593,6.347173644556324,0.08205921615326173
-0.5,2.994682903303593,6.350199068515101,0.08118392202331914
-0.44999999999999996,2.994682903303593,6.353232380821253,0.08030592694452632
-0.3999999999999999,2.994682903303593,6.356279972779837,0.0794233763480292
-0.35,2.994682903303593,6.359351020903656,0.07853360494314476
-0.29999999999999993,2.994682903303593,6.362458320028176,0.07763289314486022
-0.25,2.994682903303593,6.365619593223332,0.07671608437218769
-0.19999999999999996,2.994682903303593,6.368859816699528,0.07577590641223331
-0.1499999999999999,2.994682903303593,6.372215852558184,0.07480162011659175
-0.09999999999999998,2.994682903303593,6.375746604996189,0.07377605804784326
-0.04999999999999993,2.994682903303593,6.379556740254529,0.07266870758655986
0.0,2.994682903303593,6.3838529322504876,0.0714192995443258
0.050000000000000044,2.994682903303593,6.389069213940295,0.06990118267053802
0.10000000000000009,2.994682903303593,6.396098449588823,0.06785347273819053
0.15000000000000013,2.994682903303593,6.4065953415840395,0.06479139654283517
0.20000000000000018,2.994682903303593,6.4233620653966375,0.05988991545358979
0.25,2.994682903303593,6.4515214228462945,0.05162915640975829
0.30000000000000004,2.994682903303593,6.498729856173786,0.03769913802535474
0.4500000000000002,2.994682903303593,6.503139726569607,0.036392709851459704
0.5,2.994682903303593,6.512448281609928,0.03363213218350858
0.40000000000000013,2.994682903303593,6.520521468668455,0.031234722203673182
0.55,2.994682903303593,6.533873042356832,0.027263327096335388
0.3500000000000001,2.994682903303593,6.542045922991479,0.02482831410390618
0.6000000000000001,2.994682903303593,6.557694173185349,0.020157609873775018
0.6500000000000001,2.994682903303593,6.578314909992445,0.01398567228923564
0.7000000000000002,2.994682903303593,6.593321901834462,0.00948178721701376
2.5,2.994682903303593,6.595707233485973,0.008764958319262939
2.45,2.994682903303593,6.59604327773044,0.008663951011207982
2.4000000000000004,2.994682903303593,6.596387065808848,0.008560610756287779
2.35,2.994682903303593,6.5967384628205945,0.008454977743922898
2.3000000000000003,2.994682903303593,6.59709728207174,0.008347107734959058
2.25,2.994682903303593,6.597463282344555,0.0082370728873572
2.2,2.994682903303593,6.597836166615686,0.008124962146858539
2.1500000000000004,2.994682903303593,6.5982155829112665,0.00801088099546654
2.1,2.994682903303593,6.598601128192701,0.007894950288726443
2.0500000000000003,2.994682903303593,6.598992356419457,0.007777303836660421
2.0,2.994682903303593,6.599388792241305,0.007658084290967926
1.9500000000000002,2.994682903303593,6.5997899521367565,0.007537436791310692
1.9000000000000004,2.994682903303593,6.6001953752373375,0.0074154996959929775
1.85,2.994682903303593,6.600604666550588,0.00729239157966477
1.8000000000000003,2.994682903303593,6.601017555793749,0.007168193530111111
1.75,2.994682903303593,6.601433975520394,0.007042925634198283
1.7000000000000002,2.994682903303593,6.601854162556075,0.00691651644200264
1.6500000000000004,2.994682903303593,6.602278786753703,0.006788764199000097
1.6,2.994682903303593,6.602709110366419,0.006659288849774181
0.75,2.994682903303593,6.6027572744349206,0.006644796766674177
1.5500000000000003,2.994682903303593,6.6031471792541065,0.006527474441893166
1.5,2.994682903303593,6.603596042516685,0.006392402948364184
1.4500000000000002,2.994682903303593,6.604059987909939,0.006252783305433107
1.4000000000000004,2.994682903303593,6.604544762895894,0.006106884729331963
1.35,2.994682903303593,6.605057718988977,0.0059524930654331065
1.3000000000000003,2.994682903303593,6.605607758929288,0.005786926428240191
1.25,2.994682903303593,6.60620486254635,0.005607177622383719
1.2000000000000002,2.994682903303593,6.606858784242962,0.00541030597274339
1.15,2.994682903303593,6.607576196134173,0.005194297356135191
0.8,2.994682903303593,6.607895357842204,0.0050981920534072245
1.1,2.994682903303593,6.608355005049485,0.004959775895804097
1.0500000000000003,2.994682903303593,6.609173666690119,0.0047132238509185465
1.0,2.994682903303593,6.60997190896697,0.004472791990536851
0.8500000000000001,2.994682903303593,6.61020360129102,0.004403000451896233
0.9500000000000002,2.994682903303593,6.6106173491230305,0.004278363143677799
0.9000000000000001,2.994682903303593,6.610850712948025,0.004208061234206251
