analysis,m_target,fit_ok,E50,wE,rmse,alpha_best,r2_best,rmse_best,stage,stat
E50_fit_by_m,0.0,True,0.04617365790798732,0.011911280671811431,0.058206730057881816,,,,,
E50_fit_by_m,0.25,True,0.06095598208204097,0.01902481956334012,0.13471831557565359,,,,,
E50_fit_by_m,0.5,True,0.058989466668357866,0.026648951963316205,0.09701579600674202,,,,,
E50_fit_by_m,0.75,True,0.07401076441819776,0.06592055557336436,0.07574112930699725,,,,,
E50_fit_by_m,0.9,True,0.09508749485383536,0.032292893818116696,0.10857199796166166,,,,,
topology_branches_best_Psi,,,,,,-0.04999999999999993,0.2746082575019825,7.143204747267702,crit,median
topology_tortuosity_best_Psi,,,,,,-1.0,0.089891412770022,6.320037467359298,crit,median
