alpha,lc_ref,rmse,r2
-0.04999999999999993,2.994682903303593,7.143204747267702,0.2746082575019825
-0.09999999999999998,2.994682903303593,7.1470650931264705,0.27382401015915037
0.0,2.994682903303593,7.1543150732495455,0.27234999762124934
-0.1499999999999999,2.994682903303593,7.1585377184074686,0.27149079181595526
-0.19999999999999996,2.994682903303593,7.173613248612894,0.26841915135517624
-0.25,2.994682903303593,7.190251996387027,0.2650215034545286
0.050000000000000044,2.994682903303593,7.191958748335174,0.26467253797650014
-0.29999999999999993,2.994682903303593,7.207450394963798,0.2615013012374614
-0.35,2.994682903303593,7.224725637189214,0.257956904131449
-0.3999999999999999,2.994682903303593,7.241851140638043,0.25443485399249666
-0.44999999999999996,2.994682903303593,7.25872434476104,0.2509565365933978
0.10000000000000009,2.994682903303593,7.268502080070382,0.24893720615195647
-0.5,2.994682903303593,7.275301349139362,0.24753139613229014
-0.55,2.994682903303593,7.291564909334588,0.24416342651799683
-0.6,2.994682903303593,7.30750906224124,0.2408543015377943
-0.6499999999999999,2.994682903303593,7.323132033213564,0.23760482509477765
-0.7,2.994682903303593,7.338433229949254,0.2344155487817181
-0.75,2.994682903303593,7.353412199418992,0.231286987282614
-0.8,2.994682903303593,7.368068470974516,0.228219650896071
-0.85,2.994682903303593,7.382401745476783,0.2252140058315173
0.15000000000000013,2.994682903303593,7.385129680817428,0.22464130424499096
-0.9,2.994682903303593,7.396412168484603,0.22227041637306388
-0.95,2.994682903303593,7.410100570149386,0.2193890934436894
-1.0,2.994682903303593,7.4234686287488545,0.21657005880091706
0.20000000000000018,2.994682903303593,7.522910764729174,0.19544038188216128
0.25,2.994682903303593,7.666530143788982,0.1644275629369879
1.3000000000000003,2.994682903303593,7.728063207482997,0.1509608013759095
1.25,2.994682903303593,7.728767812252305,0.15080597232632864
1.35,2.994682903303593,7.728890611604225,0.15077898709214343
1.4000000000000004,2.994682903303593,7.730841926764676,0.15035012683151328
1.2000000000000002,2.994682903303593,7.731536041624694,0.15019754808679953
1.4500000000000002,2.994682903303593,7.73360571040094,0.14974251690006435
1.5,2.994682903303593,7.736945531753298,0.14900797692502787
1.15,2.994682903303593,7.737055335221032,0.1489838220339711
1.5500000000000003,2.994682903303593,7.740682848631633,0.14818563819000818
1.6,2.994682903303593,7.744683609981825,0.1473048924654513
1.1,2.994682903303593,7.746205591725022,0.14696971701562256
1.6500000000000004,2.994682903303593,7.748847846945937,0.1463876751107508
1.7000000000000002,2.994682903303593,7.753101622879836,0.1454502267864437
1.75,2.994682903303593,7.75739082712979,0.144504449838178
1.0500000000000003,2.994682903303593,7.760095805013003,0.14390772858149237
1.8000000000000003,2.994682903303593,7.76167640093977,0.14355895099002447
1.85,2.994682903303593,7.765930671329706,0.14261984192657418
1.9000000000000004,2.994682903303593,7.770134539961322,0.14169135331356053
1.9500000000000002,2.994682903303593,7.774275330685789,0.14077630519746964
2.0,2.994682903303593,7.77834514400074,0.1398764669003324
1.0,2.994682903303593,7.780089272366707,0.13949069485893473
2.0500000000000003,2.994682903303593,7.782339601339197,0.13899283191649126
2.1,2.994682903303593,7.786256888996267,0.1381258274453836
2.1500000000000004,2.994682903303593,7.79009703225765,0.13727547367157267
2.2,2.994682903303593,7.79386134628943,0.13644150442381464
2.25,2.994682903303593,7.797552022659251,0.13562345816939225
2.3000000000000003,2.994682903303593,7.801171819830084,0.1348207462422183
2.35,2.994682903303593,7.804723833253015,0.13403270362021302
0.9500000000000002,2.994682903303593,7.807791264976035,0.1333518806712718
2.4000000000000004,2.994682903303593,7.808211326292179,0.13325862634872288
2.45,2.994682903303593,7.811637607531171,0.13249779876790158
2.5,2.994682903303593,7.815005943335546,0.13174951297809545
0.9000000000000001,2.994682903303593,7.844945104637846,0.12508426302394238
0.30000000000000004,2.994682903303593,7.858587415393471,0.12203867113938827
0.8500000000000001,2.994682903303593,7.893136513581626,0.11430205200270027
0.8,2.994682903303593,7.953152597090936,0.10078189805785087
0.75,2.994682903303593,8.023851881942765,0.08472370081560043
0.7000000000000002,2.994682903303593,8.100682588686844,0.06711171108716374
0.3500000000000001,2.994682903303593,8.169137366899472,0.05127835696856198
0.6500000000000001,2.994682903303593,8.174832151748115,0.04995516981777082
0.6000000000000001,2.994682903303593,8.235124562978303,0.03588962695738407
0.55,2.994682903303593,8.274220436847987,0.026713758512870056
0.5,2.994682903303593,8.296394701685207,0.021490106095360173
0.4500000000000002,2.994682903303593,8.318261166434,0.01632527248365989
0.40000000000000013,2.994682903303593,8.332045267835035,0.013062497676573748
