param,delta_formed_prob_mean6,delta_log10_t_set_median_formed_mean6,delta_branches_crit_median_formed_mean6,delta_tortuosity_nm_crit_median_formed_mean6,delta_m_final_mean_mean6,delta_Delta_final_mean_mean6,abs_delta_formed_prob_mean6,abs_delta_log10_t_set_median_formed_mean6,abs_delta_branches_crit_median_formed_mean6
ACTIVE_Z_MAX_FRAC,1.4999999820000003,4.911007615208655,0.187499999984375,2.8385480822850826,1.0761145090314728,0.995663389806187,0.7499999955000001,2.9110076410872354,0.45416666664395827
BASELINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYN_ALPHA_SIGMA,1.9999999760000007,0.034586197794000836,0.12499999998958333,0.7640164712890153,0.5425141044342674,0.5158191206697395,0.7499999955000002,0.034586197794000836,0.32499999998375
DYN_M_COUNT_MODE,0.0,0.5920382017841473,0.9999999999166667,0.018424664765053913,0.375163792952417,0.49080118004900936,0.0,1.6506428007650684,0.19999999999
DYN_UPDATE_EVENTS,0.9999999880000001,5.561926753839339,2.99999999975,0.7028824833293216,0.18845999991207366,0.2632816704637255,0.24999999850000013,3.5619267797179193,1.59999999992
