formed_prob_static_mean6,formed_prob_dynamic_mean6,delta_formed_prob_mean6,abs_delta_formed_prob_mean6,log10_t_set_median_formed_static_mean6,log10_t_set_median_formed_dynamic_mean6,delta_log10_t_set_median_formed_mean6,abs_delta_log10_t_set_median_formed_mean6,branches_crit_median_formed_static_mean6,branches_crit_median_formed_dynamic_mean6,delta_branches_crit_median_formed_mean6,abs_delta_branches_crit_median_formed_mean6,tortuosity_nm_crit_median_formed_static_mean6,tortuosity_nm_crit_median_formed_dynamic_mean6,delta_tortuosity_nm_crit_median_formed_mean6,abs_delta_tortuosity_nm_crit_median_formed_mean6,m_final_mean_static_mean6,m_final_mean_dynamic_mean6,delta_m_final_mean_mean6,abs_delta_m_final_mean_mean6,Delta_final_mean_static_mean6,Delta_final_mean_dynamic_mean6,delta_Delta_final_mean_mean6,abs_delta_Delta_final_mean_mean6,param,level_name
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.630979807823282,0.07728399298520716,0.07728399298520716,89.66666666666667,78.5,-12.0,20.0,51.396739130434774,37.01630434782608,-17.15760869565217,17.15760869565217,0.5653258065387707,0.304501735133021,-0.26082407140574987,0.26082407140574987,1.2971261927920101,2.0300881692539248,0.7329619764619143,0.7329619764619143,BASELINE,base
0.20833333333333334,0.041666666666666664,-0.16666666666666666,0.16666666666666666,-3.778647325298716,-3.891250199543255,-0.35256392080467513,0.35256392080467513,89.66666666666667,48.0,-48.0,48.0,51.396739130434774,25.869565217391308,-29.21739130434781,29.21739130434781,0.5653258065387707,0.35365663979567524,-0.21166916674309555,0.23525406404565552,1.2971261927920101,1.8371127154413565,0.539986522649346,0.6488130982259038,DYN_UPDATE_EVENTS,lvl0
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.630979807823282,0.07728399298520716,0.07728399298520716,89.66666666666667,78.5,-12.0,20.0,51.396739130434774,37.01630434782608,-17.15760869565217,17.15760869565217,0.5653258065387707,0.304501735133021,-0.26082407140574987,0.26082407140574987,1.2971261927920101,2.0300881692539248,0.7329619764619143,0.7329619764619143,DYN_UPDATE_EVENTS,base
0.20833333333333334,0.08333333333333333,-0.125,0.20833333333333334,-3.778647325298716,-3.6435318166208446,-0.22714258684480626,0.22714258684480626,89.66666666666667,54.5,-16.0,16.0,51.396739130434774,32.64130434782608,-26.93478260869564,26.93478260869564,0.5653258065387707,0.3411556386199637,-0.22417016791880714,0.28562240538283207,1.2971261927920101,1.8861055982264345,0.5889794054344241,0.7948961692693969,DYN_UPDATE_EVENTS,lvl2
0.20833333333333334,0.16666666666666666,-0.041666666666666664,0.2916666666666667,-3.778647325298716,-3.5810734098028134,0.07995695248748991,0.07995695248748991,89.66666666666667,79.83333333333333,-13.5,13.5,51.396739130434774,55.96920289855072,-4.048913043478258,4.048913043478258,0.5653258065387707,0.4036144508146617,-0.1617113557241092,0.21340573719826006,1.2971261927920101,1.7054971313932745,0.4083709386012642,0.6176569515760858,DYN_ALPHA_SIGMA,lvl0
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.630979807823282,0.07728399298520716,0.07728399298520716,89.66666666666667,78.5,-12.0,20.0,51.396739130434774,37.01630434782608,-17.15760869565217,17.15760869565217,0.5653258065387707,0.304501735133021,-0.26082407140574987,0.26082407140574987,1.2971261927920101,2.0300881692539248,0.7329619764619143,0.7329619764619143,DYN_ALPHA_SIGMA,base
0.20833333333333334,0.0,-0.20833333333333334,0.20833333333333334,,,,,,,,,,,,,0.5653258065387707,0.4460024731891248,-0.11932333334964595,0.16782407824645929,1.2971261927920101,1.6520123665551665,0.3548861737631563,0.5146018134331897,DYN_ALPHA_SIGMA,lvl2
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.556433541677409,0.03152891615950826,0.20485226127126022,89.66666666666667,64.0,-24.0,24.0,51.396739130434774,37.73429951690821,-16.84148550724638,17.34692028985506,0.5653258065387707,0.20664998683598398,-0.35867581970278684,0.38182053506084185,1.2971261927920101,2.389826772723288,1.0927005799312772,1.0949889383641158,DYN_M_COUNT_MODE,lvl0
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.630979807823282,0.07728399298520716,0.07728399298520716,89.66666666666667,78.5,-12.0,20.0,51.396739130434774,37.01630434782608,-17.15760869565217,17.15760869565217,0.5653258065387707,0.304501735133021,-0.26082407140574987,0.26082407140574987,1.2971261927920101,2.0300881692539248,0.7329619764619143,0.7329619764619143,DYN_M_COUNT_MODE,base
0.20833333333333334,0.125,-0.08333333333333333,0.16666666666666666,-3.778647325298716,-3.630979807823282,0.07728399298520716,0.07728399298520716,89.66666666666667,78.5,-12.0,20.0,51.396739130434774,37.01630434782608,-17.15760869565217,17.15760869565217,0.5653258065387707,0.304501735133021,-0.26082407140574987,0.26082407140574987,1.2971261927920101,2.0300881692539248,0.7329619764619143,0.7329619764619143,ACTIVE_Z_MAX_FRAC,base
0.125,0.16666666666666666,0.041666666666666664,0.041666666666666664,-3.654399097448241,-3.8063131129566212,-0.15767320713356567,0.15767320713356567,75.33333333333333,60.0,-10.0,21.333333333333332,34.7463768115942,63.43236714975845,31.545088566827697,31.545088566827697,0.5719061731906714,0.36678453114840787,-0.20512164204226355,0.26365116470567135,1.2774894946149498,1.8647234921568547,0.5872339975419053,0.7522012987717271,ACTIVE_Z_MAX_FRAC,lvl1
0.25,0.16666666666666666,-0.08333333333333333,0.16666666666666666,-3.6099860570834355,-3.9122949177211304,-0.30225829000988513,0.30225829000988513,78.33333333333333,68.16666666666667,-12.25,12.25,45.10649978041281,40.35529205094422,-9.155797101449268,20.633399209486164,0.5750204805100019,0.08922226984723557,-0.48579821066276635,0.48579821066276635,1.2681959831595293,2.58521338778021,1.3170174046206808,1.3170174046206808,ACTIVE_Z_MAX_FRAC,lvl2
