zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,zmax
z<=10,mE,0.25,0.2463768115942029,0.045,700.0,0.1356521739130435,1.4782608695652175,2.2489128452567764,0.0,,10.0
z<=10,mE,0.25,0.2463768115942029,0.055,700.0,0.1356521739130435,1.4782608695652175,2.2489128452567764,0.0,,10.0
z<=10,mE,0.25,0.24362636200148102,0.065,700.0,0.13614725483973342,1.4617581720088864,2.257120556370852,0.0,,10.0
z<=10,mE,0.25,0.249087686372641,0.075,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.25,-3.705009954904661,10.0
z<=10,mE,0.25,0.24087591240875916,0.085,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,0.5,-3.806351131392862,10.0
z<=10,mE,0.25,0.24633723677991914,0.095,700.0,0.13565929737961455,1.4780234206795149,2.2490309418195684,0.5,-4.051883974174122,10.0
z<=10,mE,0.25,0.24087591240875916,0.105,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,0.5,-4.007575795568648,10.0
z<=10,mE,0.25,0.24900938477580814,0.115,700.0,0.13517831074035452,1.4940563086548488,2.2410568931904464,1.0,-4.1409485046626155,10.0
z<=10,mE,0.25,0.24087591240875916,0.125,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,1.0,-4.141263030563726,10.0
z<=10,mE,0.5,0.4909023590394584,0.045,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.25,-3.483140482216851,10.0
z<=10,mE,0.5,0.48905109489051096,0.055,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.0,,10.0
z<=10,mE,0.5,0.4909023590394584,0.065,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.0,,10.0
z<=10,mE,0.5,0.48905109489051096,0.075,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,1.0,-3.6425378237591226,10.0
z<=10,mE,0.5,0.4909023590394584,0.085,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.5,-3.4760265051902595,10.0
