param,formed_prob_mean6,log10_t_set_med_mean6,branches_crit_med_mean6,tortuosity_crit_med_mean6,E50_m025,E50_m090,R2_Psi_branches,R2_Psi_tortuosity
ACTIVE_Z_MAX_FRAC,0.19999999951999994,0.03578831854530088,0.18119122256826095,0.2407955680638116,0.15272278064152395,0.09715116891402485,0.44264965457609906,0.02170026820630664
ALPHA_FIELD,0.5999999985599999,0.028101323684256517,0.05747126436709539,0.11688311688094072,0.16161322705857623,0.1135014415223272,0.20785267992650125,0.21701721354728978
BASELINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC0_CELLS,0.39999999904,0.0428367585273244,0.16300940438667072,0.2916174734302253,0.4635140947769987,0.39021829247954437,0.0,0.0
LC_BETA_CELLS,0.49999999879999996,0.03825193031826372,0.1479623824432857,0.04840613931432891,1.4191425837306928,0.06979944886661466,0.03774902842577234,0.02656345438109433
MU_X_EXTRA_EV,0.29999999928,0.039977037614928955,0.03605015673935987,0.20922108194445882,0.10572077627438094,0.8053922866136505,0.0017173691495122022,0.02118516232516892
P_SIGMA,0.09999999976000003,0.009234201316120074,0.3019853709471015,0.07911620846538478,0.28106849936186984,0.553105887332574,0.3774883411415167,0.15817052989340022
SIGMA_DIS_EV,0.19999999952000005,0.03507476857317235,0.03761755485846247,0.1635081801285124,0.24672678937581077,0.10510510396883407,0.8363814945626925,0.2341275344520946
SIGMA_RES_EV,0.29999999928,0.06945372791890875,0.16300940438667072,0.32624950806161507,0.0,21.05098532934159,0.0,0.0
