zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=10,mE,0.25,0.2463768115942029,0.045,700.0,0.1356521739130435,1.4782608695652175,2.2489128452567764,0.0,,,10.0
z<=10,mE,0.25,0.2463768115942029,0.055,700.0,0.1356521739130435,1.4782608695652175,2.2489128452567764,0.0,,,10.0
z<=10,mE,0.25,0.24362636200148102,0.065,700.0,0.13614725483973342,1.4617581720088864,2.257120556370852,0.0,,,10.0
z<=10,mE,0.25,0.249087686372641,0.075,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.25,39.0,50.72463768115941,10.0
z<=10,mE,0.25,0.24087591240875916,0.085,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,0.5,77.0,54.10628019323671,10.0
z<=10,mE,0.25,0.24633723677991914,0.095,700.0,0.13565929737961455,1.4780234206795149,2.2490309418195684,0.5,87.0,55.03623188405796,10.0
z<=10,mE,0.25,0.24087591240875916,0.105,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,0.5,83.5,60.359683794466406,10.0
z<=10,mE,0.25,0.24900938477580814,0.115,700.0,0.13517831074035452,1.4940563086548488,2.2410568931904464,1.0,84.5,25.56521739130435,10.0
z<=10,mE,0.25,0.24087591240875916,0.125,700.0,0.13664233576642335,1.445255474452555,2.2653282674849278,1.0,66.5,33.63043478260869,10.0
z<=10,mE,0.5,0.4909023590394584,0.045,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.25,38.0,90.69565217391303,10.0
z<=10,mE,0.5,0.48905109489051096,0.055,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.0,,,10.0
z<=10,mE,0.5,0.4909023590394584,0.065,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.0,,,10.0
z<=10,mE,0.5,0.48905109489051096,0.075,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,1.0,53.5,17.5,10.0
z<=10,mE,0.5,0.4909023590394584,0.085,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.5,69.0,61.992753623188406,10.0
