m_target,fit_ok,E50,wE,a,b,param,level_name
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,BASELINE,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,BASELINE,base
0.25,True,0.06738595184832175,0.0036196449419754508,-18.616729797687093,276.270191145942,SIGMA_DIS_EV,lvl0
0.9,True,0.0876016456717286,0.004255272832399473,-20.586610805477207,235.00255785857982,SIGMA_DIS_EV,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,SIGMA_DIS_EV,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,SIGMA_DIS_EV,base
0.25,False,,,-6.906754778648546,-1.2998548826402722e-13,SIGMA_DIS_EV,lvl2
0.9,True,0.08277777777777776,0.053097288219899,-1.5589831524909317,18.833353520024684,SIGMA_DIS_EV,lvl2
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,SIGMA_RES_EV,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,SIGMA_RES_EV,base
0.25,False,,,-6.906754778648546,-1.2998548826402722e-13,SIGMA_RES_EV,lvl1
0.9,True,0.06333333333333308,0.159291864659698,-0.39759301875607256,6.277784506674855,SIGMA_RES_EV,lvl1
0.25,False,,,-6.906754778648546,-1.2998548826402722e-13,SIGMA_RES_EV,lvl2
0.9,True,2.0105494973484155,0.5554126529228594,3.619920228262532,-1.8004631236567974,SIGMA_RES_EV,lvl2
0.25,True,0.06431382766122404,0.0031229048949006923,-20.59423191728969,320.21468269266643,P_SIGMA,lvl0
0.9,True,0.08825213495427892,0.00541183285484071,-16.307254366760464,184.78028180518035,P_SIGMA,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,P_SIGMA,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,P_SIGMA,base
0.25,False,,,-5.745126280652453,-1.7323123321359471e-13,P_SIGMA,lvl2
0.9,True,0.1394144300856479,0.048464131346549484,2.8766517878706153,-20.63381664368152,P_SIGMA,lvl2
0.25,True,0.20573598256436512,0.04551196133134178,-4.520481573328399,21.97224577336224,LC_BETA_CELLS,lvl0
0.9,True,0.09515151515151518,0.014481078605426948,-6.570747783653082,69.05562957342408,LC_BETA_CELLS,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,LC_BETA_CELLS,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,LC_BETA_CELLS,base
0.25,True,0.07878300735756162,0.004304302114338145,-18.303317300875793,232.32569959921736,LC_BETA_CELLS,lvl2
0.9,True,0.08869506606155388,0.004847533120037149,-18.296948956353734,206.2904935845671,LC_BETA_CELLS,lvl2
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,LC0_CELLS,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,LC0_CELLS,base
0.25,True,0.10715099346163716,0.0113779903328355,-9.417391852796042,87.88898309344853,LC0_CELLS,lvl1
0.9,True,0.09942852577790949,0.0032694841168731917,-30.41107472117011,305.8586505556606,LC0_CELLS,lvl1
0.25,True,0.06568617233877594,0.003122904894900696,-21.033676832756914,320.21468269266603,LC0_CELLS,lvl2
0.9,True,0.06333333333333334,0.039822966164924145,-1.5903720750243109,25.111138026699646,LC0_CELLS,lvl2
0.25,True,0.08000000000000003,0.0036196449419754547,-22.101615291675348,276.27019114594174,MU_X_EXTRA_EV,lvl0
0.9,True,0.018001212682845043,0.12378922332676433,0.14541825369828476,-8.078247630331413,MU_X_EXTRA_EV,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,MU_X_EXTRA_EV,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,MU_X_EXTRA_EV,base
0.25,True,0.07999999999999999,0.006245809789801384,-12.808587307706658,160.10734134633324,MU_X_EXTRA_EV,lvl2
0.9,True,0.08277777777777778,0.007286778088101604,-11.359997076477947,137.23486401114297,MU_X_EXTRA_EV,lvl2
0.25,True,0.08756601471512321,0.008608604228676278,-10.171917814903196,116.16284979960885,ALPHA_FIELD,lvl0
0.9,True,0.1003662080751907,0.004626005832143615,-21.69608334209182,216.16920433855495,ALPHA_FIELD,lvl0
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,ALPHA_FIELD,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,ALPHA_FIELD,base
0.25,True,0.07500000000000001,0.003619644941975454,-20.72026433594564,276.2701911459418,ALPHA_FIELD,lvl2
0.9,True,0.08986732462087399,0.0019731827587577255,-45.54434921043632,506.79542762150373,ALPHA_FIELD,lvl2
0.25,True,0.089457518393904,0.00860860422867628,-10.391640272636813,116.16284979960881,ACTIVE_Z_MAX_FRAC,base
0.9,True,0.09250000000000001,0.003046060111669563,-30.367096054877337,328.2929303229982,ACTIVE_Z_MAX_FRAC,base
