formed_prob_mean6,log10_t_set_med_mean6,branches_crit_med_mean6,tortuosity_crit_med_mean6,E50_m025,E50_m090,R2_Psi_branches,R2_Psi_tortuosity,param,level_name
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,BASELINE,base
0.3333333333333333,-3.5564946475724994,79.5,56.42608695652175,0.06738595184832175,0.0876016456717286,0.16035393214304827,0.7424807932173325,SIGMA_DIS_EV,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,SIGMA_DIS_EV,base
0.375,-3.683063546432398,82.5,47.64492753623188,,0.08277777777777776,,,SIGMA_DIS_EV,lvl2
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,SIGMA_RES_EV,base
0.2916666666666667,-3.8591724534646765,92.75,36.18357487922705,,0.06333333333333308,,,SIGMA_RES_EV,lvl1
0.2916666666666667,-3.75387190555278,87.0,39.6159420289855,,2.0105494973484155,,,SIGMA_RES_EV,lvl2
0.4166666666666667,-3.6418675507657854,91.3,49.45579710144927,0.06431382766122404,0.08825213495427892,0.6100910926606093,0.8161178798186413,P_SIGMA,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,P_SIGMA,base
0.375,-3.6397506014106917,103.83333333333333,51.485507246376805,,0.1394144300856479,,,P_SIGMA,lvl2
0.4166666666666667,-3.692051659748875,68.2,56.09999999999999,0.20573598256436512,0.09515151515151518,0.9430518105921135,0.9952096235921083,LC_BETA_CELLS,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,LC_BETA_CELLS,base
0.20833333333333334,-3.746579346641338,80.0,56.30434782608696,0.07878300735756162,0.08869506606155388,,,LC_BETA_CELLS,lvl2
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,LC0_CELLS,base
0.3333333333333333,-3.718324244743673,78.5,38.04347826086956,0.10715099346163716,0.09942852577790949,,,LC0_CELLS,lvl1
0.25,-3.7631239079168317,91.5,38.80434782608695,0.06568617233877594,0.06333333333333334,,,LC0_CELLS,lvl2
0.4166666666666667,-3.75280447484136,82.625,45.7185061315496,0.08000000000000003,0.018001212682845043,0.9817307611256705,0.9489193697317836,MU_X_EXTRA_EV,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,MU_X_EXTRA_EV,base
0.2916666666666667,-3.6907435041759893,82.0,56.95466369379412,0.07999999999999999,0.08277777777777778,,,MU_X_EXTRA_EV,lvl2
0.20833333333333334,-3.701399864451116,84.33333333333333,52.68599033816424,0.08756601471512321,0.1003662080751907,,,ALPHA_FIELD,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,ALPHA_FIELD,base
0.4583333333333333,-3.709950420587384,79.9,47.42753623188405,0.07500000000000001,0.08986732462087399,0.7763421252345015,0.7590685218878291,ALPHA_FIELD,lvl2
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,ACTIVE_Z_MAX_FRAC,base
0.4583333333333333,-3.737689291424817,65.3,58.926421404682266,0.07579531728277393,0.09725421867884233,0.5462299000034875,0.9818998073819651,ACTIVE_Z_MAX_FRAC,lvl1
0.375,-3.699139889044603,71.0,45.9945652173913,0.08472875919695201,0.08826773545714386,0.8534469643397203,0.990494971354415,ACTIVE_Z_MAX_FRAC,lvl2
0.375,-3.6480015223841975,78.16666666666667,38.29710144927535,,0.07737168719883358,,,MU_SHIFT_EV,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,MU_SHIFT_EV,lvl1
0.375,-3.734672620307728,72.83333333333333,44.26449275362319,0.07972875919695202,0.10356367921654076,,,MU_SHIFT_EV,lvl2
0.2916666666666667,-3.6821424332486514,84.33333333333333,42.60869565217391,0.08472875919695201,0.12783279661305705,,,MU_SCALE,lvl0
0.4166666666666667,-3.608545515012543,79.75,53.70471014492754,0.089457518393904,0.09250000000000001,0.9800476575118905,0.9694574839171024,MU_SCALE,lvl1
0.25,-3.803101338544571,77.0,32.71739130434782,0.1593019869232746,0.0933992622120759,,,MU_SCALE,lvl2
