task,scheme,mask_mode,profile,lattice_tag,m_target,E,T,n_runs,n_formed,p_form,p_form_lo,p_form_hi,log10_t_set_med,log10_t_set_lo,log10_t_set_hi,neck_nm_crit_med,neck_nm_crit_lo,neck_nm_crit_hi,tortuosity_nm_crit_med,tortuosity_nm_crit_lo,tortuosity_nm_crit_hi,branches_crit_med,branches_crit_lo,branches_crit_hi,neck_nm_lrs_med,neck_nm_lrs_lo,neck_nm_lrs_hi,tortuosity_nm_lrs_med,tortuosity_nm_lrs_lo,tortuosity_nm_lrs_hi,branches_lrs_med,branches_lrs_lo,branches_lrs_hi,bottom_contact_frac_lrs_med,bottom_contact_frac_lrs_lo,bottom_contact_frac_lrs_hi,top_contact_frac_lrs_med,top_contact_frac_lrs_lo,top_contact_frac_lrs_hi,G_proxy_lrs_med,G_proxy_lrs_lo,G_proxy_lrs_hi,reset_success_med,reset_success_lo,reset_success_hi
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.105,700.0,20,19,0.95,0.7638641064874331,0.9911187805671268,-4.020383812079089,-4.06677946292915,-3.9428461920586173,4.7103455150107445,3.889057407741342,5.3996035042747215,3.0434782608695654,3.0434782608695654,3.0434782608695654,82.0,73.0,87.0,5.306493220368178,4.2242673400500586,6.832168686083743,3.0434782608695654,3.0434782608695654,3.0434782608695654,85.0,77.0,89.0,0.25,0.125,0.4583333333333333,1.0,1.0,1.0,0.8144578708650784,0.582641776379335,1.3406840341236579,1.0,0.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.12,700.0,20,20,1.0,0.8388698745050667,1.0,-4.183478431033285,-4.228747237773139,-4.128376846985324,4.492229747088141,3.1141805221475063,5.257832126605386,3.0434782608695654,3.0434782608695654,3.0434782608695654,87.5,77.0,93.5,4.810272885639284,3.7083600259106033,6.23793017077081,3.0434782608695654,3.0434782608695654,3.0434782608695654,90.5,80.5,97.0,0.1875,0.125,0.4166666666666667,1.0,1.0,1.0,0.7284298647682468,0.6358112380731893,1.2243086460936434,0.5,0.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.045,700.0,20,10,0.5,0.2992949144298199,0.7007050855701801,-3.3184137854827958,-3.3726210755983415,-3.2721308642764484,6.333431253536775,5.9220957646766,9.829657692157177,3.0434782608695654,3.0434782608695654,3.0434782608695654,57.5,49.0,71.0,7.676113474869816,6.343524859210422,10.6729281324903,3.0434782608695654,3.0434782608695654,3.0434782608695654,59.5,51.0,73.0,0.125,0.125,0.14583333333333331,1.0,0.9791666666666667,1.0,0.9416224070803549,0.7369116944655855,1.2398478337486645,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.06,700.0,20,8,0.4,0.21880396741419272,0.613422057684794,-3.3722141835555894,-3.4986434264369715,-3.1783688472085765,5.520856736324639,4.3878467303264825,8.982031850552357,3.0434782608695654,3.0434782608695654,3.0434782608695654,75.5,56.0,81.0,6.813731518292709,4.374298826603291,9.502816715751845,3.0434782608695654,3.0434782608695654,3.0434782608695654,77.5,58.0,84.5,0.14583333333333331,0.125,0.2708333333333333,1.0,1.0,1.0,1.1809101098631336,0.5081515453873824,1.3219489474286983,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.075,700.0,20,9,0.45,0.25819502085709295,0.6579179916924003,-3.5743006782802484,-3.61825909181195,-3.3540060595335377,4.631199637332177,3.635045446212058,6.323267574790037,3.0434782608695654,3.0434782608695654,3.0434782608695654,74.0,60.0,84.0,6.29442607427286,4.698049651858581,7.468347274876496,3.0434782608695654,3.0434782608695654,3.0434782608695654,75.0,64.0,86.0,0.125,0.125,0.16666666666666666,1.0,1.0,1.0,0.7478523171290534,0.498348266586419,0.867579550381347,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.09,700.0,20,12,0.6,0.3865779423152061,0.7811960325858074,-3.7826218669091554,-3.824332330091571,-3.627291610697955,5.8009356435371195,5.103871970897136,7.483370553218956,3.0434782608695654,3.0434782608695654,3.0434782608695654,80.0,75.0,89.0,6.464764632485158,5.606565772073063,7.830269128817759,3.0434782608695654,3.0434782608695654,3.0434782608695654,84.0,78.0,93.5,0.125,0.125,0.14583333333333331,1.0,1.0,1.0,0.8063272337286372,0.5128485873864272,1.010760952372382,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.105,700.0,20,19,0.95,0.7638641064874331,0.9911187805671268,-3.9575585009752325,-4.03279628773706,-3.914262851038409,4.343277483770165,3.5066976076991865,6.771083755658632,3.0434782608695654,3.0434782608695654,3.0434782608695654,74.0,68.0,82.0,4.822972713614797,3.876761797451038,7.0741898205625535,3.0434782608695654,3.0434782608695654,3.0434782608695654,78.0,70.0,86.0,0.125,0.125,0.16666666666666666,1.0,1.0,1.0,0.6475321352684399,0.4273887175826657,0.9022106140111149,1.0,0.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.9,0.12,700.0,20,20,1.0,0.8388698745050667,1.0,-4.146514040814084,-4.212280674445543,-4.048999630172544,4.489186869674918,4.103351886230089,5.30710966330024,3.0434782608695654,3.0434782608695654,3.0434782608695654,78.0,63.4875,84.0,5.472807348155983,4.6150545932996545,6.120362161169134,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.0,66.975,89.0,0.14583333333333331,0.125,0.6666666666666666,1.0,1.0,1.0,0.9659334817552574,0.6923583094234901,1.2172171733338475,0.0,0.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.0,0.045,700.0,20,2,0.1,0.027865893984153206,0.30103820641179335,-3.7407131644390494,-3.7498669311276593,-3.7315593977504395,10.652614771874237,10.4903458996705,10.814883644077973,3.0434782608695654,3.0434782608695654,3.0434782608695654,35.5,15.0,56.0,11.036927163924108,10.465205090781271,11.608649237066944,3.0434782608695654,3.0434782608695654,3.0434782608695654,37.5,17.0,58.0,0.14583333333333331,0.125,0.16666666666666666,0.9583333333333333,0.9166666666666666,1.0,1.3605649794981818,1.1639605628617098,1.5571693961346538,1.0,1.0,1.0
task2_clustered,baseline,clustered,baseline,base,0.0,0.06,700.0,20,4,0.2,0.0806563532712,0.41602172202575993,-3.778452053212458,-3.862493391448546,-3.7388991786070975,10.075825202971696,5.654994030926339,16.756892186325633,3.0434782608695654,3.0434782608695654,3.0434782608695654,55.5,40.0,57.0,10.105636190260004,6.806601586557706,16.700311951588063,3.0434782608695654,3.0434782608695654,3.0434782608695654,58.0,42.0,60.0,0.125,0.125,0.16666666666666666,0.9791666666666667,0.7916666666666666,1.0,1.162408416241314,0.9130288516622632,1.7261580808290793,1.0,1.0,1.0
