task,scheme,mask_mode,profile,lattice_tag,m_target,E,T,n_runs,n_formed,p_form,p_form_lo,p_form_hi,log10_t_set_med,log10_t_set_lo,log10_t_set_hi,neck_nm_crit_med,neck_nm_crit_lo,neck_nm_crit_hi,tortuosity_nm_crit_med,tortuosity_nm_crit_lo,tortuosity_nm_crit_hi,branches_crit_med,branches_crit_lo,branches_crit_hi,neck_nm_lrs_med,neck_nm_lrs_lo,neck_nm_lrs_hi,tortuosity_nm_lrs_med,tortuosity_nm_lrs_lo,tortuosity_nm_lrs_hi,branches_lrs_med,branches_lrs_lo,branches_lrs_hi,bottom_contact_frac_lrs_med,bottom_contact_frac_lrs_lo,bottom_contact_frac_lrs_hi,top_contact_frac_lrs_med,top_contact_frac_lrs_lo,top_contact_frac_lrs_hi,G_proxy_lrs_med,G_proxy_lrs_lo,G_proxy_lrs_hi,reset_success_med,reset_success_lo,reset_success_hi
baseline,baseline,stripe_z,baseline,base,0.0,0.045,700.0,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,-3.7369811240813617,-3.7369811240813617,-3.7369811240813617,11.662621425264415,11.662621425264415,11.662621425264415,3.0434782608695654,3.0434782608695654,3.0434782608695654,37.0,37.0,37.0,11.662621425264415,11.662621425264415,11.662621425264415,3.0434782608695654,3.0434782608695654,3.0434782608695654,41.0,41.0,41.0,0.125,0.125,0.125,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.2054582139081649,1.2054582139081649,1.2054582139081649,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.0,0.06,700.0,30,6,0.2,0.09504978102401235,0.37306047381027446,-3.7869272392158,-3.9894813605662547,-3.724231526173582,12.340037990933237,6.6176658603778815,17.413642605724682,3.0434782608695654,3.0434782608695654,3.0434782608695654,49.0,33.0,56.0,12.185005684668429,6.593489930683599,17.375706349908207,3.0434782608695654,3.0434782608695654,3.0434782608695654,53.5,36.5,59.0,0.14583333333333331,0.125,0.16666666666666666,0.875,0.7083333333333333,0.9791666666666667,1.4674947539159866,0.7562887001890611,1.8901475970895798,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.0,0.075,700.0,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,-3.8920259488575173,-3.9772337007879517,-3.800672698308721,9.552398814732017,6.301263560852963,10.552756585075349,3.0434782608695654,3.0434782608695654,3.0434782608695654,57.0,37.0,61.0,9.763674004339634,6.883016637005921,10.751254339711421,3.0434782608695654,3.0434782608695654,3.0434782608695654,59.5,40.0,64.0,0.125,0.125,0.14583333333333331,0.875,0.6875,0.9375,1.0390048763636246,0.6788813399565551,1.2489294971307765,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.0,0.09,700.0,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878,-3.9228853390879856,-3.957834523155439,-3.8674242110305834,5.819657440376609,4.343969253701075,7.09917135790881,3.0434782608695654,3.0434782608695654,3.0434782608695654,64.0,58.0,71.0,6.419198167335912,4.922777744728522,8.171438048164376,3.0434782608695654,3.0434782608695654,3.0434782608695654,68.0,62.0,77.0,0.125,0.125,0.16666666666666666,0.7916666666666666,0.7083333333333334,0.9166666666666666,0.6417338825472985,0.5960912955628046,0.8220797048279234,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.0,0.105,700.0,30,30,1.0,0.8864829086095221,1.0,-4.053719433997381,-4.09119531237784,-4.0383373201587975,4.181225002775305,3.3627398029113302,6.1379263647815465,3.0434782608695654,3.0434782608695654,3.0434782608695654,66.5,60.0,79.0,5.684619738586752,4.367385157836976,6.7368485427262375,3.0434782608695654,3.0434782608695654,3.0434782608695654,68.5,63.9875,83.0,0.14583333333333331,0.125,0.16666666666666666,0.9166666666666666,0.8541666666666667,1.0,0.6529515964777193,0.5569951921767589,0.7069219774753087,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.0,0.12,700.0,30,30,1.0,0.8864829086095221,1.0,-4.20896628366892,-4.2290685029727975,-4.163756568629147,4.096877286039044,3.1095537306551444,4.859507379396452,3.0434782608695654,3.0434782608695654,3.0434782608695654,69.5,59.9875,82.01249999999999,5.245114810089101,4.710016609730772,5.8521921366094505,3.0434782608695654,3.0434782608695654,3.0434782608695654,71.5,62.0,85.0,0.16666666666666666,0.125,0.25,1.0,1.0,1.0,0.721624498246054,0.6649536433589406,0.866018340846787,1.0,0.0,1.0
baseline,baseline,stripe_z,baseline,base,0.25,0.045,700.0,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,-3.6818292022802734,-3.6818292022802734,-3.6818292022802734,14.524812374513443,14.524812374513443,14.524812374513443,3.0434782608695654,3.0434782608695654,3.0434782608695654,47.0,47.0,47.0,14.570459526984946,14.570459526984946,14.570459526984946,3.0434782608695654,3.0434782608695654,3.0434782608695654,49.0,49.0,49.0,0.125,0.125,0.125,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.5060147694730017,1.5060147694730017,1.5060147694730017,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.25,0.06,700.0,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091,-3.894376539095757,-3.954850259665936,-3.8339028185255786,14.831638297503606,13.358606153721121,16.30467044128609,3.0434782608695654,3.0434782608695654,3.0434782608695654,30.5,27.0,34.0,14.873218750115466,13.57673453301857,16.169702967212363,3.0434782608695654,3.0434782608695654,3.0434782608695654,32.5,29.0,36.0,0.125,0.125,0.125,0.875,0.75,1.0,1.6019566901394864,1.5771758875524367,1.626737492726536,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.25,0.075,700.0,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,-3.8330218148452797,-3.935293675734808,-3.752452347946781,8.332304419487665,6.477411285936969,16.15679307214045,3.0434782608695654,3.0434782608695654,3.0434782608695654,57.0,47.0,63.0,8.788605060219075,6.623436068327435,16.26891993654309,3.0434782608695654,3.0434782608695654,3.0434782608695654,60.0,53.0,65.0,0.125,0.125,0.20833333333333334,0.7916666666666666,0.7083333333333334,0.9166666666666666,1.465759279528149,0.7585477440021814,1.7499114329211216,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.25,0.09,700.0,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-3.895534577365795,-3.9284823083378746,-3.8674672738208296,4.924669290516551,3.8824394070032557,6.787036333307012,3.0434782608695654,3.0434782608695654,3.0434782608695654,73.5,62.9875,85.51249999999999,5.91090030195301,4.970424962770098,7.054357571398899,3.0434782608695654,3.0434782608695654,3.0434782608695654,77.0,66.0,87.0,0.14583333333333331,0.125,0.35416666666666663,1.0,1.0,1.0,0.7042166691754645,0.6208638270194231,1.0593037371380989,1.0,1.0,1.0
