m_target,T,runs,formed_runs,m_actual_mean,sigma_E_mean,lc_mean,Delta_mean,formed_prob,log10_t_set_mean,log10_t_set_std,neck_nm_mean,neck_nm_median,tortuosity_nm_mean,tortuosity_nm_median,branches_mean,branches_median,barrier_std_z_mean,rate_var_log_mean,energy_set_mean,formed_runs_check,Delta_mean_formed,Delta_median_formed,Delta_std_formed,sigma_E_mean_formed,sigma_E_median_formed,sigma_E_std_formed,lc_mean_formed,lc_median_formed,lc_std_formed,log10_t_set_mean_formed,log10_t_set_median_formed,log10_t_set_std_formed,neck_nm_mean_formed,neck_nm_median_formed,neck_nm_std_formed,tortuosity_nm_mean_formed,tortuosity_nm_median_formed,tortuosity_nm_std_formed,branches_mean_formed,branches_median_formed,branches_std_formed,neck_nm_lrs_mean_formed,neck_nm_lrs_median_formed,neck_nm_lrs_std_formed,tortuosity_nm_lrs_mean_formed,tortuosity_nm_lrs_median_formed,tortuosity_nm_lrs_std_formed,branches_lrs_mean_formed,branches_lrs_median_formed,branches_lrs_std_formed,neck_nm_crit_mean_formed,neck_nm_crit_median_formed,neck_nm_crit_std_formed,tortuosity_nm_crit_mean_formed,tortuosity_nm_crit_median_formed,tortuosity_nm_crit_std_formed,branches_crit_mean_formed,branches_crit_median_formed,branches_crit_std_formed,branches_topo_main,tortuosity_topo_main,neck_topo_main,regime
0.5,800.0,32,19,0.4986827827345069,0.09023709910778877,2.9920966964070415,1.3089981882875241,0.59375,-4.604614302008473,0.15164158881878456,20.92391304347826,3.0434782608695654,35.79819393449178,37.91666666666666,43.9375,57.5,0.10227468929839573,0.7714035185639496,7601.782169117647,19,1.3089356385129083,1.3055587791574794,0.006216709466044925,0.09023278717652583,0.09,0.0004285550837512737,2.9922404274491385,3.0,0.014285169458375595,-4.604614302008473,-4.6624985250355815,0.15164158881878442,3.2036613272311207,3.0434782608695654,0.6982217987364924,53.3502704389432,47.54281949934122,18.825298191678616,73.52631578947368,72.0,14.800031610524169,3.2036613272311207,3.0434782608695654,0.6982217987364924,53.3502704389432,47.54281949934122,18.825298191678616,73.52631578947368,72.0,14.800031610524169,3.043478260869565,3.0434782608695654,4.562582906278591e-16,46.0619409194924,45.19565217391304,14.96699298931837,69.89473684210526,68.0,14.220074764774955,68.0,45.19565217391304,3.0434782608695654,critical
0.5,900.0,32,13,0.4991198456715698,0.09015842777911744,2.994719074029419,1.1625395249586405,0.40625,-5.016024628249379,0.32563649302112735,14.361413043478262,6.086956521739131,50.00512730001421,52.65217391304347,24.78125,1.0,0.11200625458050835,0.6606168738748412,10905.733455882353,13,1.163635206390121,1.1686120540710307,0.006198587117102336,0.09024340116117305,0.09062937062937064,0.00048071902669263855,2.991886627960899,2.979020979020979,0.016023967556421118,-5.016024628249379,-5.106686958448235,0.3256364930211273,3.511705685618729,3.0434782608695654,1.1429289811721035,77.44221479004088,82.68115942028984,18.807381887491474,59.92307692307692,67.0,21.116587233979274,3.511705685618729,3.0434782608695654,1.1429289811721035,77.44221479004088,82.68115942028984,18.807381887491474,59.92307692307692,67.0,21.116587233979274,3.511705685618729,3.0434782608695654,1.1429289811721035,55.66963953920476,57.065217391304344,16.17939572045812,57.53846153846154,63.0,20.488270565599986,63.0,57.065217391304344,3.0434782608695654,critical
0.75,500.0,32,27,0.7437657862066013,0.04612215848281176,4.462594717239607,1.0704922474831555,0.84375,-1.02002175510289,0.18858093776366583,12.078804347826086,3.0434782608695654,34.476379598662206,37.28260869565217,88.59375,91.0,0.07277129054328038,1.0522820892903275,4367.258272058823,27,1.0700714500609119,1.0742883668495828,0.005690727493038095,0.04610402842587439,0.04628571428571428,0.00024518499403754674,4.463199052470854,4.457142857142857,0.008172833134585,-1.02002175510289,-1.0871055957948577,0.18858093776366583,3.1561996779388077,3.0434782608695654,0.5857176643952727,39.56459804285891,41.086956521739125,12.980575072056924,105.0,100.0,26.463327309839407,3.1561996779388077,3.0434782608695654,0.5857176643952727,39.56459804285891,41.086956521739125,12.980575072056924,105.0,100.0,26.463327309839407,3.1561996779388077,3.0434782608695654,0.5857176643952727,27.89793137619224,27.391304347826086,9.372836907315525,101.22222222222223,98.0,25.6144990991931,98.0,27.391304347826086,3.0434782608695654,multi-path LRS
0.75,600.0,32,23,0.7437689969604864,0.04612158054711246,4.462613981762917,0.8920656946948371,0.71875,-2.4859102631726344,0.12179442484115842,21.019021739130434,3.0434782608695654,36.67516029178051,46.41304347826087,65.65625,81.0,0.06734594436798835,0.78640175988655,6234.344669117647,23,0.8924797743922044,0.8952403057079857,0.003218228910496108,0.04614298929562575,0.04628571428571428,0.00016638887113047126,4.461900356812473,4.457142857142857,0.005546295704349024,-2.4859102631726344,-2.4903713937562104,0.12179442484115835,3.3081285444234396,3.0434782608695654,0.8768384602783534,50.963024033801304,51.73913043478261,17.846591753295204,91.21739130434783,82.0,19.261257680401613,3.3081285444234396,3.0434782608695654,0.8768384602783534,50.963024033801304,51.73913043478261,17.846591753295204,91.21739130434783,82.0,19.261257680401613,3.3081285444234396,3.0434782608695654,0.8768384602783534,38.25981042321529,36.52173913043478,13.17309672371771,87.91304347826087,81.0,18.170688293058088,81.0,36.52173913043478,3.0434782608695654,critical
0.75,700.0,32,15,0.7433130699088146,0.04620364741641337,4.459878419452887,0.765988285886924,0.46875,-3.613632535706068,0.22378239766218175,29.483695652173914,6.086956521739131,30.62075090283589,31.435926773455375,42.21875,0.0,0.0735368243137208,0.6443199106199693,8217.570772058823,15,0.7658975827151198,0.7673488334639877,0.0024910957193817027,0.04619817629179331,0.04628571428571428,0.00015026040269738714,4.460060790273556,4.457142857142857,0.005008680089912888,-3.613632535706068,-3.6012578415974006,0.22378239766218175,3.0434782608695645,3.0434782608695654,9.193520069792627e-16,54.195029182241456,56.30434782608695,19.08248943555048,90.06666666666666,88.0,16.05555830175184,3.0434782608695645,3.0434782608695654,9.193520069792627e-16,54.195029182241456,56.30434782608695,19.08248943555048,90.06666666666666,88.0,16.05555830175184,3.0434782608695645,3.0434782608695654,9.193520069792627e-16,37.96314512427044,41.086956521739125,13.429321314676576,86.33333333333333,84.0,15.495006876256559,84.0,41.086956521739125,3.0434782608695654,critical
0.75,800.0,32,18,0.7435410334346505,0.04616261398176291,4.461246200607903,0.6696445105860931,0.5625,-4.42795268912467,0.2789689037173506,20.44836956521739,3.0434782608695654,48.73657987305727,47.78260869565216,43.15625,52.5,0.07852988391493693,0.5492430522335648,7800.278492647059,18,0.6703720256099398,0.6714302292809893,0.0020371128010818213,0.046212765957446805,0.04628571428571428,0.0001404304080553785,4.459574468085106,4.457142857142857,0.0046810136018459346,-4.42795268912467,-4.433006729281401,0.27896890371735084,3.043478260869565,3.0434782608695654,4.569640269980427e-16,71.25633523326123,74.56521739130434,20.573069832331228,76.72222222222223,77.0,16.683227066712156,3.043478260869565,3.0434782608695654,4.569640269980427e-16,71.25633523326123,74.56521739130434,20.573069832331228,76.72222222222223,77.0,16.683227066712156,3.043478260869565,3.0434782608695654,4.569640269980427e-16,55.19353330089408,54.88405797101448,15.348799458143402,72.94444444444444,74.0,15.894772437807129,74.0,54.88405797101448,3.0434782608695654,critical
0.75,900.0,32,13,0.7433130699088146,0.04620364741641337,4.459878419452887,0.5957686668009409,0.40625,-5.1518942729495825,0.18347309227122677,13.220108695652174,4.565217391304348,45.813323320355515,46.666666666666664,29.84375,3.0,0.07356023280718277,0.44616165805553015,10285.411764705883,13,0.5958500670833293,0.5968268704719905,0.0018562120315083028,0.046209960252513435,0.04628571428571428,0.00014395481167956596,4.459667991582885,4.457142857142857,0.004798493722652183,-5.1518942729495825,-5.146767386196063,0.1834730922712264,3.277591973244147,3.0434782608695654,0.8441089942557836,59.68443958494126,54.27536231884058,22.607426447598,71.84615384615384,74.0,22.112764616265398,3.277591973244147,3.0434782608695654,0.8441089942557836,59.68443958494126,54.27536231884058,22.607426447598,71.84615384615384,74.0,22.112764616265398,3.277591973244147,3.0434782608695654,0.8441089942557836,42.00885430066031,38.33612040133779,19.80607734443036,68.61538461538461,73.0,21.838568563966753,73.0,38.33612040133779,3.0434782608695654,critical
0.9,500.0,32,28,0.8959903188781875,0.01872174260192626,5.375941913269124,0.4345304073790474,0.875,-1.0900474999292835,0.1279022883236232,11.888586956521738,3.0434782608695654,42.926827950152926,39.565217391304344,89.40625,99.0,0.067156323991556,0.8957764878683196,4135.458639705882,28,0.4346420946271271,0.4353122181156056,0.001306735499234069,0.018726554647009775,0.018755426917510868,5.630069898450037e-05,5.37578151176634,5.374819102749638,0.0018766899661499122,-1.0900474999292835,-1.0763949451921362,0.12790228832362321,3.1521739130434776,3.0434782608695654,0.5751633284923023,49.05923194303192,46.15942028985507,21.47872706756716,102.17857142857143,102.5,17.346263492258416,3.1521739130434776,3.0434782608695654,0.5751633284923023,49.05923194303192,46.15942028985507,21.47872706756716,102.17857142857143,102.5,17.346263492258416,3.1521739130434776,3.0434782608695654,0.5751633284923023,34.65705802998843,29.673913043478258,14.462596676581468,98.78571428571429,100.0,16.767157366040497,100.0,29.673913043478258,3.0434782608695654,multi-path LRS
0.9,600.0,32,20,0.8958031837916063,0.018755426917510868,5.374819102749638,0.3627601817630047,0.625,-2.554754704680355,0.19184904710067907,25.869565217391305,3.0434782608695654,38.689904816881864,40.326086956521735,60.34375,86.0,0.0650200307524073,0.6839083795713593,6355.364889705883,20,0.3627601817630046,0.3627601817630047,5.695323946259567e-17,0.018755426917510868,0.018755426917510868,0.0,5.374819102749639,5.374819102749638,9.112518314015307e-16,-2.554754704680355,-2.5923361261086284,0.19184904710067915,3.347826086956522,3.0434782608695654,0.936762843208184,58.809644808460256,60.869565217391305,16.56102910128319,96.55,95.5,13.288202127807724,3.347826086956522,3.0434782608695654,0.936762843208184,58.809644808460256,60.869565217391305,16.56102910128319,96.55,95.5,13.288202127807724,3.195652173913043,3.0434782608695654,0.6805424279347186,40.62486219976459,39.18478260869565,9.9349318882041,92.45,90.5,12.258080041988203,90.5,39.18478260869565,3.0434782608695654,critical
0.9,700.0,32,14,0.8959903188781875,0.01872174260192626,5.375941913269124,0.31037886241360535,0.4375,-3.5824800388677076,0.15698950368710962,23.872282608695652,6.086956521739131,40.4648030819706,42.53623188405797,37.59375,0.5,0.06752820185226228,0.5750468361392298,8395.511029411764,14,0.3104586390193766,0.31093729865400405,0.0009511628113827197,0.01872655464700978,0.018755426917510868,5.737318961979397e-05,5.375781511766341,5.374819102749638,0.0019124396539930296,-3.5824800388677076,-3.5810809029519,0.15698950368710957,3.4782608695652173,3.0434782608695654,1.1051981031343348,67.11416687887275,66.62758014931927,17.804414230408987,85.78571428571429,77.5,19.458747573851127,3.4782608695652173,3.0434782608695654,1.1051981031343348,67.11416687887275,66.62758014931927,17.804414230408987,85.78571428571429,77.5,19.458747573851127,3.260869565217391,3.0434782608695654,0.8134037797334656,51.244601661481454,47.50439174352217,14.821954630969174,82.57142857142857,74.0,19.80953261481912,74.0,47.50439174352217,3.0434782608695654,critical
0.9,800.0,32,12,0.8958967513348969,0.01873858475971856,5.375380508009381,0.2718258204670791,0.375,-4.370643581788741,0.27526009611755287,30.244565217391305,9.130434782608695,32.53218290394601,35.0,29.4375,0.0,0.06198211560725668,0.5428366916690176,9979.072610294117,12,0.27207013632225346,0.2720701363222535,5.797950651443767e-17,0.018755426917510868,0.018755426917510868,0.0,5.374819102749638,5.374819102749638,0.0,-4.370643581788741,-4.422545942967313,0.27526009611755287,3.043478260869565,3.0434782608695654,4.638360521155014e-16,61.596644191273334,58.597826086956516,24.657728232751094,78.16666666666667,76.5,15.467463406855831,3.043478260869565,3.0434782608695654,4.638360521155014e-16,61.596644191273334,58.597826086956516,24.657728232751094,78.16666666666667,76.5,15.467463406855831,3.043478260869565,3.0434782608695654,4.638360521155014e-16,48.408238394171896,42.999999999999986,21.01778386455166,74.83333333333333,74.0,15.062496070664647,74.0,42.999999999999986,3.0434782608695654,critical
0.9,900.0,32,8,0.8961761191923965,0.01868829854536864,5.377056715154379,0.24097454057700723,0.25,-5.084781311597036,0.1972592127846658,37.28260869565217,24.347826086956523,36.62062289747501,32.51144164759725,16.53125,0.0,0.06896924180307669,0.4912070624479056,11918.920036764706,8,0.24097454057700726,0.24184012117533646,0.0013063034884832642,0.01868829854536864,0.018755426917510868,0.00010130775444234274,5.377056715154379,5.374819102749638,0.003376925148078184,-5.084781311597035,-5.107735944217265,0.19725921278466566,3.4239130434782608,3.0434782608695654,1.076032058327355,82.74435829870612,88.10869565217389,19.571991831691722,65.875,66.5,16.287045684925708,3.4239130434782608,3.0434782608695654,1.076032058327355,82.74435829870612,88.10869565217389,19.571991831691722,65.875,66.5,16.287045684925708,3.4239130434782608,3.0434782608695654,1.076032058327355,63.53240177696698,67.01185770750986,14.547941079192082,63.25,65.0,15.791046287600542,65.0,67.01185770750986,3.0434782608695654,critical
