m_target,E,runs,formed_runs,formed_prob,m_actual_mean,sigma_E_mean,lc_mean,Delta_mean,branches_topo_main,tortuosity_topo_main,neck_topo_main,regime
0.0,0.055,32,23,0.71875,-0.015234849825505763,0.17725772703140896,0.09140909895303458,2.9386715136426163,56.0,57.369565217391305,3.0434782608695654,critical
0.0,0.06,32,22,0.6875,-0.015234849825505763,0.17725772703140896,0.09140909895303458,2.9386715136426163,62.0,41.59420289855072,3.0434782608695654,critical
0.0,0.065,32,25,0.78125,-0.01271840556125115,0.1777106869989748,0.0763104333675069,2.9461809214173775,62.0,37.53623188405796,3.0434782608695654,critical
0.0,0.07,32,32,1.0,-0.016084789444378668,0.17710473790001183,0.09650873666627201,2.936135179628506,59.5,43.70772946859903,3.0434782608695654,multi-path LRS
0.0,0.075,32,31,0.96875,-0.013546168738206221,0.17756168962712288,0.08127701242923732,2.9437107648854073,61.0,48.69565217391303,3.0434782608695654,multi-path LRS
0.0,0.08,32,27,0.84375,-0.012729603711697419,0.17770867133189447,0.07637762227018452,2.946147504631948,63.0,41.99999999999999,3.0434782608695654,multi-path LRS
0.0,0.085,32,31,0.96875,-0.014384910206632857,0.1774107161628061,0.08630946123979714,2.9412078476567265,77.0,43.74999999999999,3.0434782608695654,multi-path LRS
0.0,0.09,32,31,0.96875,-0.016084789444378668,0.17710473790001183,0.09650873666627201,2.936135179628506,68.0,36.521739130434774,3.0434782608695654,multi-path LRS
0.0,0.095,32,32,1.0,-0.017751294089760377,0.17680476706384313,0.10650776453856226,2.931162105867855,69.5,41.34057971014492,3.0434782608695654,multi-path LRS
0.0,0.1,32,31,0.96875,-0.009385396270487737,0.1783106286713122,0.056312377622926416,2.9561270689386796,69.0,45.65217391304347,3.0434782608695654,multi-path LRS
0.0,0.105,32,32,1.0,-0.013546168738206221,0.17756168962712288,0.08127701242923732,2.9437107648854073,77.0,38.29710144927536,3.0434782608695654,multi-path LRS
0.25,0.055,32,12,0.375,0.23404696469151917,0.13787154635552654,1.404281788149115,2.2857067649584137,63.5,45.65217391304347,3.0434782608695654,critical
0.25,0.06,32,20,0.625,0.2327489663706319,0.13810518605328626,1.3964937982237913,2.289580166337079,68.0,41.847826086956516,3.0434782608695654,critical
0.25,0.065,32,22,0.6875,0.23408201170006895,0.1378652378939876,1.4044920702004138,2.2856021799762534,64.5,55.73715415019762,3.0434782608695654,critical
0.25,0.07,32,8,0.25,0.23472660788113373,0.13774921058139594,1.4083596472868025,2.2836786183689375,78.5,52.39855072463768,3.0434782608695654,critical
0.25,0.075,32,25,0.78125,0.23665176729205145,0.13740268188743074,1.4199106037523086,2.2779336840370488,68.0,36.52173913043478,3.0434782608695654,critical
0.25,0.08,32,24,0.75,0.23405577065027688,0.13786996128295015,1.4043346239016614,2.2856804867943796,68.5,40.528985507246375,3.0434782608695654,critical
0.25,0.085,32,23,0.71875,0.2385943617940035,0.13705301487707938,1.431566170764021,2.2721367210510683,81.0,36.66666666666666,3.0434782608695654,critical
0.25,0.09,32,29,0.90625,0.23730516943187394,0.1372850695022627,1.4238310165912438,2.275983844265699,66.0,40.07246376811594,3.0434782608695654,multi-path LRS
0.25,0.095,32,27,0.84375,0.23468293174030733,0.13775707228674466,1.408097590441844,2.283808953841156,75.0,41.99999999999999,3.0434782608695654,multi-path LRS
0.25,0.1,32,28,0.875,0.23212180528060145,0.13821807504949174,1.392730831683609,2.2914516992903025,74.5,41.84782608695651,3.0434782608695654,multi-path LRS
0.25,0.105,32,31,0.96875,0.23341980360148873,0.13798443535173202,1.4005188216089324,2.287578297911637,74.0,37.905138339920946,3.0434782608695654,multi-path LRS
0.5,0.055,32,13,0.40625,0.4991198456715698,0.09015842777911744,2.994719074029419,1.4946936749468234,58.0,31.956521739130434,3.0434782608695654,critical
0.5,0.06,32,20,0.625,0.4978146853146853,0.09039335664335665,2.986888111888112,1.4985884488031407,63.5,44.384057971014485,3.0434782608695654,critical
0.5,0.065,32,17,0.53125,0.4995569086086328,0.09007975645044611,2.9973414516517964,1.4933894204221905,78.0,53.26086956521739,3.0434782608695654,critical
0.5,0.07,32,16,0.5,0.4999820385094358,0.09000323306830156,2.9998922310566147,1.4921207756809887,68.0,40.57971014492753,3.0434782608695654,critical
0.5,0.075,32,22,0.6875,0.4969405594405594,0.09055069930069931,2.9816433566433567,1.5011969578524065,73.0,36.01449275362319,3.0434782608695654,critical
0.5,0.08,32,21,0.65625,0.5012811704120159,0.08976938932583713,3.007687022472096,1.4882439915422525,68.0,35.02983802216538,3.0434782608695654,critical
0.5,0.085,32,23,0.71875,0.4986827827345069,0.09023709910778877,2.9920966964070415,1.4959979294714563,81.0,41.086956521739125,3.0434782608695654,critical
0.5,0.09,32,30,0.9375,0.4995569086086328,0.09007975645044611,2.9973414516517964,1.4933894204221905,70.5,35.2536231884058,3.0434782608695654,multi-path LRS
0.5,0.095,32,27,0.84375,0.4986767542802026,0.09023818422956355,2.9920605256812154,1.4960159191890374,85.0,36.521739130434774,3.0434782608695654,multi-path LRS
0.5,0.1,32,20,0.625,0.4991138172172655,0.09015951290089222,2.994682903303593,1.4947116646644045,78.5,42.30629877369007,3.0434782608695654,critical
0.5,0.105,32,28,0.875,0.4982517482517482,0.09031468531468531,2.9895104895104896,1.497284194278508,81.0,40.07246376811594,3.0434782608695654,multi-path LRS
0.75,0.055,32,14,0.4375,0.7433130699088146,0.04620364741641337,4.459878419452887,0.765988285886924,66.5,44.2391304347826,3.0434782608695654,critical
0.75,0.06,32,18,0.5625,0.7428571428571429,0.04628571428571428,4.457142857142857,0.7673488334639877,74.5,48.15856777493606,3.0434782608695654,critical
0.75,0.065,32,16,0.5,0.7435410334346505,0.04616261398176291,4.461246200607903,0.7653080120983922,76.5,43.63043478260869,3.0434782608695654,critical
0.75,0.07,32,13,0.40625,0.7437657862066013,0.04612215848281176,4.462594717239607,0.7646373196308255,76.0,54.347826086956516,3.0434782608695654,critical
0.75,0.075,32,12,0.375,0.7435410334346505,0.04616261398176291,4.461246200607903,0.7653080120983922,74.5,54.02173913043478,3.0434782608695654,critical
0.75,0.08,32,15,0.46875,0.7439937497324371,0.04608112504816131,4.463962498394623,0.7639570458422936,79.0,45.652173913043484,3.0434782608695654,critical
0.75,0.085,32,16,0.5,0.7439969604863221,0.04608054711246201,4.463981762917933,0.7639474645213284,86.5,33.858695652173914,3.0434782608695654,critical
0.75,0.09,32,19,0.59375,0.7435378226807654,0.04616319191746222,4.461226936084593,0.7653175934193573,78.0,42.60869565217391,3.0434782608695654,critical
0.75,0.095,32,23,0.71875,0.7428571428571429,0.04628571428571428,4.457142857142857,0.7673488334639877,87.0,47.681159420289845,3.0434782608695654,critical
0.75,0.1,32,19,0.59375,0.7435410334346505,0.04616261398176291,4.461246200607903,0.7653080120983922,81.0,52.97101449275362,3.0434782608695654,critical
0.75,0.105,32,19,0.59375,0.7430851063829788,0.04624468085106383,4.458510638297873,0.7666685596754559,82.0,39.565217391304344,3.0434782608695654,critical
0.9,0.055,32,8,0.25,0.8958031837916063,0.018755426917510868,5.374819102749638,0.31093729865400405,58.0,44.05434782608695,3.0434782608695654,critical
0.9,0.06,32,15,0.46875,0.8958967513348969,0.01873858475971856,5.375380508009381,0.31065808053380467,65.0,46.41304347826087,3.0434782608695654,critical
0.9,0.065,32,8,0.25,0.8958967513348969,0.01873858475971856,5.375380508009381,0.31065808053380467,72.5,49.54298418972331,3.0434782608695654,critical
0.9,0.07,32,8,0.25,0.8959903188781875,0.01872174260192626,5.375941913269124,0.31037886241360535,73.0,47.93478260869565,3.0434782608695654,critical
0.9,0.075,32,11,0.34375,0.8959903188781875,0.01872174260192626,5.375941913269124,0.31037886241360535,77.0,50.21739130434782,3.0434782608695654,critical
