m_target,E,runs,formed_runs,m_actual_mean,sigma_E_mean,lc_mean,Delta_mean,formed_prob,log10_t_set_mean,log10_t_set_std,neck_nm_mean,neck_nm_median,tortuosity_nm_mean,tortuosity_nm_median,branches_mean,branches_median,barrier_std_z_mean,rate_var_log_mean,energy_set_mean,formed_runs_check,Delta_mean_formed,Delta_median_formed,Delta_std_formed,sigma_E_mean_formed,sigma_E_median_formed,sigma_E_std_formed,lc_mean_formed,lc_median_formed,lc_std_formed,log10_t_set_mean_formed,log10_t_set_median_formed,log10_t_set_std_formed,neck_nm_mean_formed,neck_nm_median_formed,neck_nm_std_formed,tortuosity_nm_mean_formed,tortuosity_nm_median_formed,tortuosity_nm_std_formed,branches_mean_formed,branches_median_formed,branches_std_formed,neck_nm_lrs_mean_formed,neck_nm_lrs_median_formed,neck_nm_lrs_std_formed,tortuosity_nm_lrs_mean_formed,tortuosity_nm_lrs_median_formed,tortuosity_nm_lrs_std_formed,branches_lrs_mean_formed,branches_lrs_median_formed,branches_lrs_std_formed,neck_nm_crit_mean_formed,neck_nm_crit_median_formed,neck_nm_crit_std_formed,tortuosity_nm_crit_mean_formed,tortuosity_nm_crit_median_formed,tortuosity_nm_crit_std_formed,branches_crit_mean_formed,branches_crit_median_formed,branches_crit_std_formed,branches_topo_main,tortuosity_topo_main,neck_topo_main,regime
0.0,0.055,32,23,-0.015234849825505763,0.17725772703140896,0.09140909895303458,2.9386715136426163,0.71875,-3.5137974274512627,0.16110308402705792,3.614130434782609,3.0434782608695654,62.00323996655518,66.57608695652173,44.40625,56.0,0.1886968397470208,1.3060800400503856,8425.418658088236,23,2.9382333464079706,2.9287260222100335,0.017979907350695577,0.17723129722198233,0.176657824933687,0.0010845300314866043,0.09229009260058878,0.11140583554376685,0.03615100104955371,-3.5137974274512627,-3.5340779127443804,0.1611030840270578,3.3081285444234396,3.0434782608695654,0.8768384602783535,67.4575396248364,69.99999999999999,24.95164992249429,61.30434782608695,60.0,15.292406857976326,3.3081285444234396,3.0434782608695654,0.8768384602783535,67.4575396248364,69.99999999999999,24.95164992249429,61.30434782608695,60.0,15.292406857976326,3.3081285444234396,3.0434782608695654,0.8768384602783535,56.40839028646213,57.369565217391305,22.70660111698004,57.869565217391305,56.0,15.42519882832246,56.0,57.369565217391305,3.0434782608695654,critical
0.0,0.06,32,22,-0.015234849825505763,0.17725772703140896,0.09140909895303458,2.9386715136426163,0.6875,-3.5666772541694156,0.08826770947881435,5.326086956521739,3.0434782608695654,50.226157900070945,46.41304347826086,45.9375,52.0,0.1882684368710731,1.321291435444111,9766.33455882353,22,2.941384039685815,2.9487493600394794,0.019086065892962262,0.17742134388980865,0.17786561264822134,0.001151252408597589,0.0859552036730443,0.07114624505928828,0.03837508028658654,-3.5666772541694156,-3.553165376547466,0.0882677094788143,3.0434782608695645,3.0434782608695654,9.09079595102396e-16,52.94268774703557,51.570048309178745,18.53546642257186,66.54545454545455,66.0,19.8271753690959,3.0434782608695645,3.0434782608695654,9.09079595102396e-16,52.94268774703557,51.570048309178745,18.53546642257186,66.54545454545455,66.0,19.8271753690959,3.0434782608695645,3.0434782608695654,9.09079595102396e-16,41.52964426877468,41.59420289855072,15.018495894261159,63.40909090909091,62.0,19.67996102132486,62.0,41.59420289855072,3.0434782608695654,critical
0.0,0.065,32,25,-0.01271840556125115,0.1777106869989748,0.0763104333675069,2.9461809214173775,0.78125,-3.642350570246159,0.1950826209015167,4.0896739130434785,3.0434782608695654,48.52654603096179,44.992753623188406,49.0,53.0,0.1894492736406776,1.460263859039384,9059.6796875,25,2.943901825268623,2.9487493600394794,0.014410505582326002,0.17757321419837807,0.17786561264822134,0.000869227286220322,0.08089286005406476,0.07114624505928828,0.028974242874011104,-3.642350570246159,-3.608662759937362,0.19508262090151676,3.043478260869565,3.0434782608695654,4.532466518368395e-16,53.36600790513833,53.26086956521739,22.03305043187469,62.4,65.0,20.45523567859013,3.043478260869565,3.0434782608695654,4.532466518368395e-16,53.36600790513833,53.26086956521739,22.03305043187469,62.4,65.0,20.45523567859013,3.043478260869565,3.0434782608695654,4.532466518368395e-16,41.80079051383398,37.53623188405796,15.80395054642031,58.96,62.0,20.021821428964284,62.0,37.53623188405796,3.0434782608695654,critical
0.0,0.07,32,32,-0.016084789444378668,0.17710473790001183,0.09650873666627201,2.936135179628506,1.0,-3.6266452450849367,0.2114172995022205,3.0434782608695654,3.0434782608695654,59.18702994620114,59.728260869565204,66.40625,63.0,0.18861991440004036,1.4644074779135026,7418.8869485294135,32,2.936135179628506,2.9387376911247562,0.020224142781357805,0.17710473790001183,0.17726171879095418,0.0012199000684287183,0.09650873666627202,0.09127604030152756,0.04066333561429077,-3.626645245084937,-3.6388109438100287,0.2114172995022205,3.0434782608695654,3.0434782608695654,0.0,59.187029946201136,59.728260869565204,17.11234121646411,66.40625,63.0,20.78283934620875,3.0434782608695654,3.0434782608695654,0.0,59.187029946201136,59.728260869565204,17.11234121646411,66.40625,63.0,20.78283934620875,3.0434782608695654,3.0434782608695654,0.0,46.87045385924462,43.70772946859903,14.379477007409742,63.15625,59.5,19.90154698963488,59.5,43.70772946859903,3.0434782608695654,multi-path LRS
0.0,0.075,32,31,-0.013546168738206221,0.17756168962712288,0.08127701242923732,2.9437107648854073,0.96875,-3.6906477040393377,0.1517850968266858,3.1385869565217392,3.0434782608695654,62.88628815327185,63.836956521739125,60.53125,63.5,0.1878973070755026,1.4130085388904956,8549.662224264706,31,2.9441941436813877,2.9487493600394794,0.013327981993881273,0.17759084655271765,0.17786561264822134,0.0008039305458889242,0.08030511490941378,0.07114624505928828,0.02679768486296449,-3.6906477040393377,-3.7145430536773656,0.15178509682668584,3.1416549789621313,3.0434782608695654,0.5466248322554018,63.884022553728016,63.91304347826086,13.553107040574078,62.354838709677416,65.0,18.741306228216455,3.1416549789621313,3.0434782608695654,0.5466248322554018,63.884022553728016,63.91304347826086,13.553107040574078,62.354838709677416,65.0,18.741306228216455,3.1416549789621313,3.0434782608695654,0.5466248322554018,49.72203096887529,48.69565217391303,13.923645608677154,59.096774193548384,61.0,18.46140991132526,61.0,48.69565217391303,3.0434782608695654,multi-path LRS
0.0,0.08,32,27,-0.012729603711697419,0.17770867133189447,0.07637762227018452,2.946147504631948,0.84375,-3.7874836271666568,0.11796686720368336,3.328804347826087,3.0434782608695654,49.985650007876494,47.934782608695656,57.625,61.0,0.1883134754916421,1.41519922031877,7558.1691176470595,27,2.9456949945724356,2.9487493600394794,0.018155895378154464,0.17768137637761472,0.17786561264822134,0.001095145453314898,0.07728745407951007,0.07114624505928828,0.03650484844383014,-3.787483627166657,-3.7693245470438597,0.1179668672036834,3.043478260869565,3.0434782608695654,4.525488120821813e-16,52.54676305164648,48.18840579710145,25.15944795025946,67.88888888888889,64.0,17.71642726036474,3.043478260869565,3.0434782608695654,4.525488120821813e-16,52.54676305164648,48.18840579710145,25.15944795025946,67.88888888888889,64.0,17.71642726036474,3.043478260869565,3.0434782608695654,4.525488120821813e-16,42.18129361245304,41.99999999999999,19.244050751592113,64.29629629629629,63.0,17.331196449477176,63.0,41.99999999999999,3.0434782608695654,multi-path LRS
0.0,0.085,32,31,-0.014384910206632857,0.1774107161628061,0.08630946123979714,2.9412078476567265,0.96875,-3.7868552311764385,0.1188936873216908,3.233695652173913,3.0434782608695654,57.46010718599033,56.55797101449275,76.3125,81.0,0.18861684428827685,1.4859587450732012,6616.218750000002,31,2.941610487187264,2.9487493600394794,0.014137621861240315,0.17743500297664866,0.17786561264822134,0.0008527672130481538,0.08549990077837881,0.07114624505928828,0.02842557376827216,-3.786855231176438,-3.767343851332603,0.11889368732169074,3.1416549789621313,3.0434782608695654,0.5466248322554018,58.282803490727744,58.333333333333314,17.754862637337506,78.7741935483871,81.0,16.14663985151783,3.1416549789621313,3.0434782608695654,0.5466248322554018,58.282803490727744,58.333333333333314,17.754862637337506,78.7741935483871,81.0,16.14663985151783,3.1416549789621313,3.0434782608695654,0.5466248322554018,46.30524388343461,43.74999999999999,15.9064808920122,75.0,77.0,15.403462814142367,77.0,43.74999999999999,3.0434782608695654,multi-path LRS
0.0,0.09,32,31,-0.016084789444378668,0.17710473790001183,0.09650873666627201,2.936135179628506,0.96875,-3.845024098718823,0.17622648719512596,3.1385869565217392,3.0434782608695654,56.20527626811594,56.05072463768116,67.84375,70.0,0.1878603079780984,1.4665817434554207,6968.125919117647,31,2.9357282705829904,2.9287260222100335,0.02042485750004275,0.17708019355329546,0.176657824933687,0.0012320069795450758,0.09732688155681989,0.11140583554376685,0.04106689931816936,-3.845024098718823,-3.885463175014344,0.17622648719512607,3.1416549789621313,3.0434782608695654,0.5466248322554018,55.285764375876575,54.78260869565217,16.364182818896463,70.0,70.0,20.945962220278478,3.1416549789621313,3.0434782608695654,0.5466248322554018,55.285764375876575,54.78260869565217,16.364182818896463,70.0,70.0,20.945962220278478,3.1416549789621313,3.0434782608695654,0.5466248322554018,41.34467040673212,36.521739130434774,13.955364212923767,66.7741935483871,68.0,20.40540725301238,68.0,36.521739130434774,3.0434782608695654,multi-path LRS
0.0,0.095,32,32,-0.017751294089760377,0.17680476706384313,0.10650776453856226,2.931162105867855,1.0,-3.82871544342091,0.16632267381530078,3.233695652173913,3.0434782608695654,59.51847680771913,58.84057971014492,76.59375,74.5,0.18854316812905814,1.5546041058432496,6561.461397058823,32,2.931162105867855,2.9287260222100335,0.01597881215811374,0.17680476706384313,0.176657824933687,0.0009638259705652565,0.10650776453856226,0.11140583554376685,0.032127532352175324,-3.82871544342091,-3.8712761688038313,0.16632267381530072,3.233695652173913,3.0434782608695654,0.7484968777969029,59.51847680771914,58.84057971014492,18.903298206459922,76.59375,74.5,17.967460507728248,3.233695652173913,3.0434782608695654,0.7484968777969029,59.51847680771914,58.84057971014492,18.903298206459922,76.59375,74.5,17.967460507728248,3.233695652173913,3.0434782608695654,0.7484968777969029,43.635324633806086,41.34057971014492,13.933509793205184,73.375,69.5,18.126348670623994,69.5,41.34057971014492,3.0434782608695654,multi-path LRS
0.0,0.1,32,31,-0.009385396270487737,0.1783106286713122,0.056312377622926416,2.9561270689386796,0.96875,-3.9076373365022254,0.1492479921318575,3.519021739130435,3.0434782608695654,61.67808783909327,60.489130434782595,69.1875,71.0,0.18986786782551274,1.6016134101143078,5959.117647058823,31,2.9557275997981467,2.9487493600394794,0.014085183536910852,0.1782865330922244,0.17786561264822134,0.0008496041857629297,0.05711556359252261,0.07114624505928828,0.02832013952543127,-3.9076373365022254,-3.932915895251458,0.14924799213185744,3.338008415147264,3.0434782608695654,0.9146782933179782,62.44049459968113,62.39130434782608,19.998755742799858,71.41935483870968,71.0,15.632816324532158,3.338008415147264,3.0434782608695654,0.9146782933179782,62.44049459968113,62.39130434782608,19.998755742799858,71.41935483870968,71.0,15.632816324532158,3.338008415147264,3.0434782608695654,0.9146782933179782,45.16139221538941,45.65217391304347,16.42486677686352,68.54838709677419,69.0,15.207100774917441,69.0,45.65217391304347,3.0434782608695654,multi-path LRS
