m_target,m_actual_mean,m_actual_std,sigma_E_mean,sigma_E_std,lc_mean,lc_std,Delta_mean,formed_prob,log10_t_set_mean,log10_t_set_std,neck_nm_mean,tortuosity_nm_mean,branches_mean,barrier_std_z_mean,rate_var_log_mean
0.0,-0.01633099534149011,0.0034649938549225785,0.1770604208385318,0.0006236988938860478,0.09798597204894066,0.020789963129535485,2.935400468153182,0.0,,,17.753623188405797,31.407773386034254,0.5,0.18962698054590651,1.5757619476767533
0.25,0.23473541383989147,0.0,0.13774762550881955,0.0,1.4084124830393485,0.0,2.2836523402049034,0.16666666666666666,-3.7944411513299263,,15.724637681159422,30.181159420289855,11.166666666666666,0.14941551774831585,1.2755166322557108
0.5,0.498818422956354,0.0035862686398448404,0.09021268386785629,0.0006455283551720732,2.992910537738124,0.021517611839069077,1.4955931608258808,0.6666666666666666,-3.573662790785564,0.16810835068557828,16.73913043478261,40.91787439613527,58.0,0.09472514064587421,0.8286965374396122
0.75,0.7434650455927052,0.0009417588683786524,0.04617629179331306,0.00016951659630815835,4.460790273556231,0.005650553210271635,0.7655347700279028,0.16666666666666666,-3.6271596808206112,,20.28985507246377,20.709967201460586,10.166666666666666,0.07577859572423483,0.675240354150131
0.9,0.8958031837916063,0.0,0.018755426917510868,0.0,5.374819102749638,0.0,0.31093729865400405,0.3333333333333333,-3.471210354327196,0.06847764849808921,16.739130434782606,42.2445187662579,26.333333333333332,0.06955626568063074,0.6389339116427686
